state,district,last_name,first_name,longitude,latitude,party,num_grants,total_grants_millions,DistPresVote,StatePresVote
CA,42,Garcia,Robert,-118.3385168,33.45468415,Democrat,1,10,D,D
CA,43,Waters,Maxine,-118.3092014,33.910691311699644,Democrat,1,6,D,D
CA,47,Min,Dave,-117.8603067,33.65894117325102,Democrat,3,42,D,D
CA,49,Levin,Mike,-117.4127125,33.34456690124658,Democrat,2,10,D,D
CA,50,Peters,Scott,-117.155761,32.98247379790177,Democrat,1,6,D,D
CO,1,DeGette,Diana,-104.8776813,39.76064955,Democrat,4,58,D,D
CO,2,Neguse,Joe,-106.1721586,40.29361145606241,Democrat,15,352,D,D
CO,7,Pettersen,Brittany,-105.6291018,38.86133604842158,Democrat,13,74,D,D
CO,8,Evans,Gabe,-104.8024974,40.17664651007004,Republican,2,33,R,D
CT,1,Larson,John,-72.81207578,41.81294696662474,Democrat,4,8,D,D
CT,2,Courtney,Joe,-72.21105157,41.66082585954872,Democrat,3,8,D,D
CT,3,DeLauro,Rosa,-72.8914567,41.37600034686082,Democrat,1,4,D,D
CT,4,Himes,Jim,-73.38573546,41.213881238627806,Democrat,1,3,D,D
CT,5,Hayes,Jahana,-73.21926652,41.69037116656759,Democrat,3,20,D,D
DE,0,McBride,Sarah,-75.49952676,38.98980409881828,Democrat,3,15,D,D
GA,5,Williams,Nikema,-84.37966867,33.69645548208368,Democrat,1,1,D,R
HI,1,Case,Ed,-157.9025675,21.36866539299777,Democrat,5,24,D,D
IL,3,Ramirez,Delia,-88.06203937,41.92495929549712,Democrat,14,365,D,D
IL,5,Quigley,Mike,-87.9845478,42.08288879,Democrat,1,3,D,D
IL,7,Davis,Danny,-87.7460701,41.86024651478356,Democrat,9,2370,D,D
IL,9,Schakowsky,Janice,-87.99921965,42.13853998972056,Democrat,1,2,D,D
IL,10,Schneider,Bradley,-88.05329751,42.35400679264483,Democrat,1,3,D,D
IL,11,Foster,Bill,-88.46356349,42.06769003884723,Democrat,1,1,D,D
IL,13,Budzinski,Nikki,-89.55771467,39.43403426578171,Democrat,7,28,D,D
IL,16,LaHood,Darin,-89.31844377,41.39869694023389,Republican,1,3,R,D
