player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,2338,1161,-2.704712712955996,1.53347167569848,-1.171241037257516,-2.031857228497425,3.913044383075429,1.881187154578005,-2.748439880175369,2.13278675672868,-.6156531234466889,1.253003513844726,1.253003513844726,0,-2.63118416023852,2.025739510025291,-.6054446502132289,-.8902770328253055
Steven Adams,adamsst01,2022,3152,1526,.4671884372726571,1.637695912837868,2.104884350110525,6.720067806543033,-1.719843436504833,5.000224370038199,1.762636695006721,1.015376583068122,2.778013278074843,4.293581324901048,4.293581324901048,0,1.820105849839592,1.899000163868107,3.719106013707699,-.240085100904785
Bam Adebayo,adebaba01,2022,2442,1204,-.6444914301225307,4.270416920956521,3.62592549083399,-2.289533740475712,4.690691998243584,2.401158257767872,-1.056889262340926,4.580226877321615,3.523337614980689,3.869444707237617,3.869444707237617,0,-.7264633702238773,3.829166081950079,3.102702711726202,.4112308697419968
Santi Aldama,aldamsa01,2022,585,277,-2.963192699546279,-2.959666162381142,-5.922858861927422,-3.444377544873408,3.076925660108754,-.3674518847646544,-3.295354128282469,-1.922621017393964,-5.217975145676433,-.3488555984239389,-.3488555984239389,0,-2.223777878231855,-2.807738545536572,-5.031516423768426,.0194946765668833
LaMarcus Aldridge,aldrila01,2022,1956,930,.0282537060133747,2.211521791697094,2.239775497710469,2.664703811912356,.4456528552725549,3.110356667184911,.5599865958002613,1.989236505578867,2.549223101379128,2.511107150945123,2.511107150945123,0,.6987430181251785,.817467970410453,1.516210988535632,-.1311890241290487
Nickeil Alexander-Walker,alexani01,2022,2728,1322,-1.616166340360923,-1.50982913339857,-3.125995473759494,-1.554946385621183,-2.059656731281708,-3.614603116902891,-1.666310916807583,-1.694219940712411,-3.360530857519993,-.414763276349046,-.414763276349046,0,-.6107890918892416,-1.705134976973182,-2.315924068862424,.6998105903380217
Grayson Allen,allengr01,2022,2949,1393,.7236334657703576,-.0652510674991965,.658382398271161,.8105588654354466,1.95123825127632,2.761797116711767,.7654333462742527,.3348633918271704,1.100296738101423,2.738200210707884,2.738200210707884,0,.4952746169070857,.0806279606144556,.5759025775215413,.0643340384092937
Jarrett Allen,allenja01,2022,3439,1697,.3047076385742592,4.099716805451678,4.404424444025937,2.016884458787104,1.030666507076229,3.047550965863332,.6847416582734855,3.634696813912331,4.319438472185817,6.082806021464937,6.082806021464937,0,.1156677608459638,3.280584968948346,3.396252729794309,-.6202504064773938
Jose Alvarado,alvarjo01,2022,883,422,.9864326032429076,4.611082248874943,5.59751485211785,2.517375991999521,5.266042477105588,7.783418469105109,1.375959305603802,5.047649456670539,6.423608762274341,1.972928244660585,1.972928244660585,0,1.297899179982923,4.001767312681274,5.299666492664197,-.1108368899978943
Justin Anderson,anderju01,2022,163,77,-.390218073804158,-2.862288846443352,-3.25250692024751,12.61855637545268,6.17478319503629,18.79333957048897,2.277213398212012,-1.204631855191598,1.072581543020414,.1543848276936658,.1543848276936658,0,.882355816749065,-2.1312643274926,-1.248908510743535,.4796108783456765
Kyle Anderson,anderky01,2022,2284,1064,-1.136102847502218,.679586384356216,-.456516463146002,-2.357674323109439,1.054434858402052,-1.303239464707387,-1.503955268578728,.7674457738977847,-.7365094946809432,1.093174856953144,1.093174856953144,0,-1.381774253883833,1.048652626129055,-.3331216277547775,.0133424350647341
Giannis Antetokounmpo,antetgi01,2022,3512,1640,5.930230713553962,1.645090481068046,7.575321194622009,2.991409675326659,2.525819307115995,5.517228982442655,5.628235529805459,1.913885712081598,7.542121241887057,8.751109444052545,8.751109444052545,0,4.766611057322747,1.247294057580101,6.013905114902848,1.618082167883038
Thanasis Antetokounmpo,antetth01,2022,756,358,-4.52677271495903,.4418519056323866,-4.084920809326643,-5.041296710898088,-3.739439592277767,-8.780736303175855,-4.933188455491945,-.4158294634837509,-5.349017918975695,-.474337801939572,-.474337801939572,0,-4.35249086419529,-.7129893876020771,-5.065480251797367,-.0793781891175311
Carmelo Anthony,anthoca01,2022,2962,1385,.7255437854200728,-1.598562201940721,-.8730184165206483,1.854618545078178,.7799880758027016,2.634606620880879,1.039096244917526,-1.1908607944487,-.1517645495311739,1.832656656507285,1.832656656507285,0,.5996108871616955,-1.536215481120052,-.9366045939583562,-.1811159471285536
Cole Anthony,anthoco01,2022,3215,1547,-.2092097432145506,-1.993955887306251,-2.203165630520802,1.802203060851128,-1.355499456079457,.4467036047716706,.305320146984366,-1.953212732293458,-1.647892585309092,.8698540736635962,.8698540736635962,0,-.940848465783905,-1.22955587592042,-2.170404341704325,-.0019081362993279
OG Anunoby,anunoog01,2022,3115,1541,-.1217864019997436,-.9622163864060082,-1.084002788405752,1.970167882792775,-1.426665995307481,.5435018874852944,.2970742663698394,-1.128546128968981,-.831471862599142,1.506687987727107,1.506687987727107,0,.8309391342887554,.160718311727718,.9916574460164735,-.112241809881088
Trevor Ariza,arizatr01,2022,867,415,-4.29363431093269,-.2656761695076391,-4.559310480440329,-1.516630350384052,-.6798485791392614,-2.196478929523314,-3.946982651475282,-.3518697015168255,-4.298852352992108,-.3255807412762132,-.3255807412762132,0,-4.056953548014398,-1.248363267722818,-5.305316815737217,-.7200684247689487
