state,district,last_name,first_name,longitude,latitude,party,num_grants,total_grants_millions
CT,5,Hayes,Jahana,-73.21926651749366,41.69037116656759,Democrat,3.0,20.0
MO,2,Wagner,Ann,-90.95973674072218,38.533203474801915,Republican,1.0,189.0
NJ,12,Watson Coleman,Bonnie,-74.58094737543644,40.39240807958018,Democrat,1.0,2.0
MI,6,Dingell,Debbie,-83.71624085030737,42.247192290152476,Democrat,1.0,31.0
NJ,6,Pallone,Frank,-74.24791640750257,40.46250579387949,Democrat,2.0,5.0
OR,3,Dexter,Maxine,-121.96903751845177,45.45686302101381,Democrat,2.0,15.0
CA,49,Levin,Mike,-117.41271246082005,33.34456690124658,Democrat,2.0,10.0
IL,10,Schneider,Bradley,-88.0532975077094,42.35400679264483,Democrat,1.0,3.0
IL,7,Davis,Danny,-87.74607009960208,41.860246514783555,Democrat,9.0,2370.0
NY,25,Morelle,Joseph,-77.67681164693516,43.13415625020536,Democrat,1.0,5.0NY,9,Clarke,Yvette,-73.95091997341358,40.638846843844306,Democrat,1.0,1.0
NY,12,Nadler,Jerrold,-73.97560055925882,40.76453749520126,Democrat,2.0,4.0
NY,13,Espaillat,Adriano,-73.93340427807519,40.83390408902094,Democrat,1.0,1.0
NY,6,Meng,Grace,-73.8261032779416,40.73838574138184,Democrat,1.0,2.0
NY,16,Latimer,George,-73.79154802944593,40.98595436102425,Democrat,1.0,20.0
MA,3,Trahan,Lori,-71.58778755721053,42.5865848437566,Democrat,3.0,40.0
MA,2,McGovern,James,-72.2041055729101,42.427468756967194,Democrat,3.0,115.0
CT,1,Larson,John,-72.81207577729539,41.81294696662474,Democrat,4.0,8.0
NY,26,Kennedy,Timothy,-78.84746509363045,42.983025136047964,Democrat,1.0,2.0
CA,43,Waters,Maxine,-118.30920143351138,33.910691311699644,Democrat,1.0,6.0
NY,22,Mannion,John,-75.98977519936804,42.91298842194433,Democrat,1.0,5.0
CA,10,DeSaulnier,Mark,-121.88275239855987,37.89353490574467,Democrat,1.0,2.0
GA,5,Williams,Nikema,-84.37966867367123,33.69645548208368,Democrat,1.0,1.0
NY,10,Goldman,Dan,-74.0005115466899,40.684365352520174,Democrat,12.0,17840.0
NY,20,Tonko,Paul,-73.89491561264047,42.784283198087245,Democrat,25.0,129.0
MA,7,Pressley,Ayanna,-71.081518024038,42.304405764608084,Democrat,9.0,208.0
MD,7,Mfume,Kweisi,-76.60252517843162,39.28731991956611,Democrat,3.0,159.0
WA,10,Strickland,Marilyn,-122.75454235703394,47.042767796012036,Democrat,1.0,995.0
CA,9,Harder,Josh,-121.2150258788047,37.976241350823734,Democrat,2.0,4.0
CA,5,McClintock,Tom,-119.84974068212289,37.709359862469924,Republican,2.0,79.0
