Rank,Name,Salary
219,Nassir Little,6250000
220,Jevon Carter,6190476
221,Kenrich Williams,6175000
222,Ricky Rubio,6146342
223,Jarace Walker,6059460
224,Jonathan Kuminga,6012840
225,Devin Vassell,5887899
226,Tyrese Haliburton,5808435
227,Dyson Daniels,5784120
228,Kira Lewis,5722116
229,Dean Wade,5709877
230,Aaron Nesmith,5634257
231,Taylor Hendricks,5569872
232,Cole Anthony,5539771
233,Franz Wagner,5508720
234,Furkan Korkmaz,5370370
235,Jeremy Sochan,5316960
236,Cason Wallace,5291352
237,Isaiah Stewart,5266713
238,Chuma Okeke,5266712
239,Davion Mitchell,5063640
240,Johnny Davis,5050800
241,Jalen Smith,5043773
242,Jett Howard,5026824
243,Aleksej Pokusevski,5009633
244,Reggie Jackson,5000000
244,Shake Milton,5000000
244,Mason Plumlee,5000000
247,Ziaire Williams,4810200
248,Ousmane Dieng,4798440
249,Dereck Lively,4775628
250,Josh Green,4765339
251,Jarred Vanderbilt,4698000
252,Nickeil Alexander-Walker,4687500
253,James Bouknight,4570080
254,Jalen Williams,4558680
255,Saddiq Bey,4556983
256,Gradey Dick,4536708
257,Jalen McDaniels,4516000
257,Taurean Prince,4516000
259,Precious Achiuwa,4379526
260,Tyrese Maxey,4343920
261,Josh Primo,4341600
262,Jalen Duren,4330680
263,Danuel House,4310250
264,Jordan Hawkins,4310196
265,Zeke Nnaji,4306281
266,Immanuel Quickley,4171548
267,Chris Duarte,4124400
268,Ochai Agbaji,4114200
269,Kobe Bufkin,4094244
270,Payton Pritchard,4037277
271,Dwight Powell,4000000
271,Troy Brown,4000000
271,Seth Curry,4000000
274,Moses Moody,3918480
275,Mark Williams,3908160
276,Jaden McDaniels,3901399
277,Keyonte George,3889776
278,Malachi Flynn,3873024
279,Desmond Bane,3845083
280,Russell Westbrook,3835738
280,Kevin Love,3835738
282,Corey Kispert,3722040
283,AJ Griffin,3712920
284,Jalen Hood-Schifino,3695076
285,Amir Coffey,3666667
286,Alperen Sengun,3536280
287,Tari Eason,3527160
288,Jaime Jaquez,3510540
289,Mike Muscala,3500000
290,Andre Drummond,3360000
291,Trey Murphy,3359280
292,Brandin Podziemski,3352404
293,Dalen Terry,3350760
294,Cameron Whitmore,3218160
295,Jake LaRavia,3199920
296,Derrick Rose,3196448
296,Eric Gordon,3196448
296,Wesley Matthews,3196448
296,Tristan Thompson,3196448
296,Markieff Morris,3196448
296,Justin Holiday,3196448
296,DeAndre Jordan,3196448
296,Cory Joseph,3196448
296,Jae Crowder,3196448
296,Robin Lopez,3196448
296,Cody Zeller,3196448
296,Patrick Beverley,3196448
296,Danny Green,3196448
296,Alex Len,3196448
296,Garrett Temple,3196448
296,Taj Gibson,3196448
312,Tre Mann,3191400
313,Usman Garuba,3148182
314,Noah Clowney,3089460
315,Malaki Branham,3071880
316,Kai Jones,3047880
317,Simone Fontecchio,3044872
318,Dante Exum,3000000
318,Julian Champagnie,3000000
318,Jordan Nwora,3000000
321,Dariq Whitehead,2966040
322,Christian Braun,2949120
323,Jalen Johnson,2925360
