,Gross,Diff,CapPct,DiffPct,Date,Show,Theater,Avg_Ticket,Top_Ticket,Seats_Sold,Capacity,Performances,Previews
23,777573,81836.57,89.57,-1.01,12/28/25,Oedipus,Studio 54,106.91,327,7273,1015,8,0
24,1274464.18,101496.04,99.96,-0.04,12/28/25,"Oh, Mary!",Lyceum Theatre,178.07,425,7157,895,8,0
25,912203.55,215386.05,96.99,11.5,12/28/25,Operation Mincemeat,John Golden Theatre,148.81,475,6130,790,8,0
26,1656355.25,222732.3,100.95,1.95,12/28/25,The Outsiders,Bernard B. Jacobs Theatre,228.9,548,7236,1024,7,0
27,1588107,164839,100,0,12/28/25,Ragtime,Vivian Beaumont Theater,188.52,449,8424,1053,8,0
28,919572.2,43555.35,92.96,2.36,12/28/25,SIX: The Musical,Lena Horne Theatre,137.07,349,6709,1031,7,0
29,2510948,593407.4,100.99,1.5,12/28/25,Stranger Things: The First Shadow,Marquis Theatre,173.31,399,14488,1594,9,0
30,653974.6,58086.1,80.72,9.15,12/28/25,Two Strangers (Carry a Cake Across New York),Longacre Theatre,110.54,375,5916,1047,7,0
31,1306467.3,78015.7,100,0.21,12/28/25,Waiting for Godot,Hudson Theatre,167.67,599,7792,974,8,0
32,4401071,1399350,100,0,12/28/25,Wicked,Gershwin Theatre,253.9,277,17334,1926,9,0
0,926153.1,48318.9,94.13,2.43,12/21/25,& Juliet,Stephen Sondheim Theatre,119.87,324,7726,1026,8,0
1,1602122.9,273949.3,95.4,1.89,12/21/25,Aladdin,New Amsterdam Theatre,121.55,249.5,13181,1727,8,0
2,1073175,664134,95.19,-4.81,12/21/25,All Out: Comedy About Ambition,Nederlander Theatre,135.23,399,7936,1191,7,0
3,1590503.02,47084.32,96.17,-3.67,12/21/25,Art,Music Box Theatre,183.94,547,8647,999,9,0
4,769578.24,106538.13,64.56,6.38,12/21/25,Beetlejuice,Palace Theatre,90.41,299,8512,1648,8,0
5,1184345.5,66008.4,96.42,-0.68,12/21/25,The Book of Mormon,Eugene O'Neill Theatre,144.03,279,8223,1066,8,0
6,1042234.75,-52416.85,92.77,-0.2,12/21/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,133.88,397,7785,1049,8,0
7,348771,0,90.24,0,12/21/25,Bug,Samuel J. Friedman Theatre,86.67,375,4024,637,0,7
8,1727978.22,-159510.06,94.94,-1.7,12/21/25,Chess,Imperial Theatre,157.33,475,10983,1446,8,0
9,885219.28,178164.83,93.21,15.73,12/21/25,Chicago,Ambassador Theatre,109.92,237,8053,1080,8,0
10,1304550.7,-45809,92.44,-1.92,12/21/25,Death Becomes Her,Lunt-Fontanne Theatre,118.32,325,11026,1491,8,0
11,1516028.38,195558.55,99.09,4.22,12/21/25,The Great Gatsby,Broadway Theatre,128.78,474,11772,1485,8,0
12,1063670,124727,100.31,1.47,12/21/25,Hadestown,Walter Kerr Theatre,144.38,0,7367,918,8,0
13,2983979,179317,101.01,0.33,12/21/25,Hamilton,Richard Rodgers Theatre,278.9,850,10699,1324,8,0
14,3038962.5,52229,100,0,12/21/25,Harry Potter and the Cursed Child,Lyric Theatre,234.2,600,12976,1622,8,0
15,1055971.13,44849.95,88.65,1.22,12/21/25,Hell's Kitchen,Sam S. Shubert Theatre,102.19,397,10333,1457,8,0
16,1460405,-9617.5,102.36,-0.92,12/21/25,Just in Time,Circle in the Square Theatre,258.48,674.5,5650,690,8,0
17,365379.85,-64313.75,57.26,-5.15,12/21/25,Liberation,James Earl Jones Theatre,75.18,347,4860,1061,8,0
18,2754103,383145.25,97.5,0.5,12/21/25,The Lion King,Minskoff Theatre,208.19,339,13229,1696,8,0
19,553954.66,120160.24,94.5,20.99,12/21/25,Little Bear Ridge Road,Booth Theatre,95.16,0,5821,770,8,0
20,2085381.95,171322.35,100.64,2.93,12/21/25,Mamma Mia!,Winter Garden Theatre,171.65,398,12149,1509,8,0
21,326885.5,34043,92.99,6.26,12/21/25,Marjorie Prime,Helen Hayes Theater,75.63,269,4322,581,8,0
22,1273501.14,9395.87,98.84,0.14,12/21/25,Maybe Happy Ending,Belasco Theatre,165.52,475,7694,973,8,0
23,1659386,217446.65,91.95,2.2,12/21/25,MJ The Musical,Neil Simon Theatre,162.64,375,10203,1387,8,0
24,1172627.6,48918.8,96.47,2.59,12/21/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,116.88,0,10033,1300,8,0
25,695736.43,-154018.07,90.58,0.65,12/21/25,Oedipus,Studio 54,94.59,327,7355,1015,8,0
26,1172968.14,-41148.62,100,0,12/21/25,"Oh, Mary!",Lyceum Theatre,163.82,375,7160,895,8,0
27,696817.5,-32890.88,85.49,-2.93,12/21/25,Operation Mincemeat,John Golden Theatre,128.97,475,5403,790,8,0
28,1433622.95,228382.65,99,2.94,12/21/25,The Outsiders,Bernard B. Jacobs Theatre,176.77,548,8110,1024,8,0
29,630613.12,-161576.86,81.39,4.46,12/21/25,The Queen of Versailles,St. James Theatre,73.88,229,8536,1311,8,0
30,1423268,80253,100,0,12/21/25,Ragtime,Vivian Beaumont Theater,168.95,349,8424,1053,8,0
31,876016.85,144849.95,90.6,8.29,12/21/25,SIX: The Musical,Lena Horne Theatre,117.22,279,7473,1031,8,0
32,1917540.6,307408.5,99.49,0.75,12/21/25,Stranger Things: The First Shadow,Marquis Theatre,151.14,379,12687,1594,8,0
33,595888.5,-38548.6,71.57,-4.86,12/21/25,Two Strangers (Carry a Cake Across New York),Longacre Theatre,99.4,375,5995,1047,8,0
34,1228451.6,-57258.31,99.79,0.25,12/21/25,Waiting for Godot,Hudson Theatre,157.98,599,7776,974,8,0
35,3001721,237766,100,0,12/21/25,Wicked,Gershwin Theatre,194.82,277,15408,1926,8,0
0,877834.2,28707.8,91.7,4.46,12/14/25,& Juliet,Stephen Sondheim Theatre,116.62,324,7527,1026,8,0
1,1328173.6,-119211.5,93.51,-0.9,12/14/25,Aladdin,New Amsterdam Theatre,102.8,239.5,12920,1727,8,0
2,409041,0,100,0,12/14/25,All Out: Comedy About Ambition,Nederlander Theatre,171.72,449,2382,1191,2,0
3,1543418.7,-50615.6,99.84,1.29,12/14/25,Art,Music Box Theatre,193.44,523,7979,999,8,0
4,663040.11,38255.29,58.18,1.49,12/14/25,Beetlejuice,Palace Theatre,86.43,299,7671,1648,8,0
