,Gross,Diff,CapPct,DiffPct,Date,Show,Theater,Avg_Ticket,Top_Ticket,Seats_Sold,Capacity,Performances,Previews
24,462118,85703.5,93.05,0.68,7/13/25,Pirates! The Penzance Musical,Todd Haimes Theatre,85.39,297,5412,727,8,0
25,672618.55,28770.84,98.28,-1.2,7/13/25,Purpose,Helen Hayes Theater,147.25,349,4568,581,8,0
26,659041.25,-50755,84.14,-3.17,7/13/25,SIX: The Musical,Lena Horne Theatre,94.96,269,6940,1031,8,0
27,980002.85,51355.75,77.13,-1.67,7/13/25,Stranger Things: The First Shadow,Marquis Theatre,99.64,281,9835,1594,8,0
28,1974733,34464.1,95.93,-4,7/13/25,Sunset Boulevard,St. James Theatre,156.14,499,12647,1648,8,0
29,2311794,53873,100,0,7/13/25,Wicked,Gershwin Theatre,150.04,352,15408,1926,8,0
0,840136.5,-99306.6,99.32,1.82,7/6/25,& Juliet,Stephen Sondheim Theatre,103.06,324,8152,1026,8,0
1,1378964,2538.6,95.96,-0.03,7/6/25,Aladdin,New Amsterdam Theatre,104.01,215.5,13258,1727,8,0
2,827261.35,-32850.46,96.55,2.25,7/6/25,The Book of Mormon,Eugene O'Neill Theatre,100.47,249,8234,1066,8,0
3,557638.3,17963.32,92.55,19.51,7/6/25,BOOP! The Musical,Broadhurst Theatre,75.7,297,7366,1137,7,0
4,1086615.1,-172134.6,98.67,3.34,7/6/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,131.23,397,8280,1049,8,0
5,842496.5,-40844.8,95.3,3.28,7/6/25,Cabaret,August Wilson Theatre,103.27,329,8158,1070,8,0
6,233729.5,-272118,45.62,-19.75,7/6/25,Call Me Izzy,Studio 54,79.36,377.5,2945,807,8,0
7,542588.46,-25154.6,70.75,4.15,7/6/25,Chicago,Ambassador Theatre,88.76,237,6113,1080,8,0
8,1102042.75,-253330.25,96.22,1.71,7/6/25,Death Becomes Her,Lunt-Fontanne Theatre,96.02,249,11477,1491,8,0
9,918349.7,-47901.7,90.35,3.5,7/6/25,The Great Gatsby,Broadway Theatre,85.56,277,10733,1485,8,0
10,293902.82,-701697.7,57.81,-8.63,7/6/25,Gypsy,Majestic Theatre,39.97,247,7354,1590,8,0
11,693991,-52402,100.01,1.13,7/6/25,Hadestown,Walter Kerr Theatre,94.48,0,7345,918,8,0
12,2110770,171071,101.42,0.33,7/6/25,Hamilton,Richard Rodgers Theatre,196.5,325,10742,1324,8,0
13,1167145.25,13568.05,87.57,4.5,7/6/25,Harry Potter and the Cursed Child,Lyric Theatre,102.71,239,11363,1622,8,0
14,779243.41,-128281.89,92.73,5.66,7/6/25,Hell's Kitchen,Sam S. Shubert Theatre,72.09,273,10809,1457,8,0
15,907358.9,-16350.8,102.27,-0.21,7/6/25,John Proctor is the Villain,Booth Theatre,143.66,475,6316,772,8,0
16,1231806.5,-48092.5,103.01,0.18,7/6/25,Just in Time,Circle in the Square Theatre,216.64,574.5,5686,690,8,0
17,2054327.8,-12673,97.26,-1.92,7/6/25,The Lion King,Minskoff Theatre,155.68,262,13196,1696,8,0
18,1331260.19,23757.78,102.54,0.05,7/6/25,Maybe Happy Ending,Belasco Theatre,166.78,475,7982,973,8,0
19,1232434.85,3467.85,89.53,1.77,7/6/25,MJ The Musical,Neil Simon Theatre,124.06,269,9934,1387,8,0
20,848114.6,-19687.2,92.26,4.69,7/6/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,88.39,0,9595,1300,8,0
21,938942,-297193,93.97,-6.03,7/6/25,"Oh, Mary!",Lyceum Theatre,139.56,375,6728,895,8,0
22,606750.6,-147337.08,98.07,-0.63,7/6/25,Operation Mincemeat,John Golden Theatre,97.89,325,6198,790,8,0
23,1146604.69,-101314.96,101.75,-0.2,7/6/25,The Outsiders,Bernard B. Jacobs Theatre,137.57,497,8335,1024,8,0
24,376414.5,-95429,92.37,2.88,7/6/25,Pirates! The Penzance Musical,Todd Haimes Theatre,70.07,297,5372,727,8,0
25,643847.71,-38257.54,99.48,0.81,7/6/25,Purpose,Helen Hayes Theater,139.24,300,4624,581,8,0
26,709796.25,-7738,87.31,6.44,7/6/25,SIX: The Musical,Lena Horne Theatre,98.57,269,7201,1031,8,0
27,928647.1,-82722.15,78.8,-1.56,7/6/25,Stranger Things: The First Shadow,Marquis Theatre,92.42,281,10048,1594,8,0
28,1940268.9,88782.1,99.93,2.87,7/6/25,Sunset Boulevard,St. James Theatre,151.1,599,12841,1606,8,0
29,2257921,-177686,100,0,7/6/25,Wicked,Gershwin Theatre,146.54,352,15408,1926,8,0
0,939443.1,-74855.9,97.5,-0.19,6/29/25,& Juliet,Stephen Sondheim Theatre,117.39,324,8003,1026,8,0
1,1376425.4,-147699.8,95.99,-2.48,6/29/25,Aladdin,New Amsterdam Theatre,103.79,199.5,13262,1727,8,0
2,860111.81,-78680.24,94.3,-2.4,6/29/25,The Book of Mormon,Eugene O'Neill Theatre,106.95,249,8042,1066,8,0
3,539674.98,-62341.87,73.04,-8.39,6/29/25,BOOP! The Musical,Broadhurst Theatre,81.23,297,6644,1137,8,0
4,1258749.7,-38114.55,95.33,-3.82,6/29/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,157.34,447,8000,1049,8,0
5,883341.3,-61640.98,92.02,-0.99,6/29/25,Cabaret,August Wilson Theatre,112.14,349,7877,1070,8,0
6,505847.5,-98365.75,65.37,3.62,6/29/25,Call Me Izzy,Studio 54,119.87,377.5,4220,807,8,0
7,567743.06,-35887.47,66.6,-3.6,6/29/25,Chicago,Ambassador Theatre,98.67,237,5754,1080,8,0
8,681011.7,205836.7,94.11,19.43,6/29/25,Dead Outlaw,Longacre Theatre,86.31,297,7890,1048,8,0
9,1355373,-102960.2,94.51,-4.27,6/29/25,Death Becomes Her,Lunt-Fontanne Theatre,120.23,299,11273,1491,8,0
10,2230345.5,-3806.5,98.87,-1.7,6/29/25,Glengarry Glen Ross,Palace Theatre,215.91,799,10330,1306,8,0
11,966251.4,-130634.6,86.85,-8.36,6/29/25,The Great Gatsby,Broadway Theatre,93.65,277,10318,1485,8,0
12,995600.52,-291979.36,66.44,-17.41,6/29/25,Gypsy,Majestic Theatre,117.81,397,8451,1590,8,0
13,746393,-73991.5,98.88,-0.92,6/29/25,Hadestown,Walter Kerr Theatre,102.78,0,7262,918,8,0
14,1939699,-230098,101.09,-0.35,6/29/25,Hamilton,Richard Rodgers Theatre,181.16,325,10707,1324,8,0
15,1153577.2,-131009.85,83.07,-7.24,6/29/25,Harry Potter and the Cursed Child,Lyric Theatre,107.02,239,10779,1622,8,0
16,907525.3,-133677.85,87.07,-7.33,6/29/25,Hell's Kitchen,Sam S. Shubert Theatre,89.42,297,10149,1457,8,0
17,923709.7,68382.48,102.48,-0.06,6/29/25,John Proctor is the Villain,Booth Theatre,145.95,475,6329,772,8,0
18,1279899,-6149.5,102.83,-0.79,6/29/25,Just in Time,Circle in the Square Theatre,225.49,574.5,5676,690,8,0
19,2067000.8,-74943,99.18,-0.64,6/29/25,The Lion King,Minskoff Theatre,153.6,259,13457,1696,8,0
20,1307502.41,26450.26,102.49,1.15,6/29/25,Maybe Happy Ending,Belasco Theatre,163.89,475,7978,973,8,0
21,1228967,-140501,87.76,-3.14,6/29/25,MJ The Musical,Neil Simon Theatre,126.2,299,9738,1387,8,0
22,867801.8,-152327,87.57,-8.56,6/29/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,95.29,0,9107,1300,8,0
23,1236135,-73905.56,100,0,6/29/25,"Oh, Mary!",Lyceum Theatre,172.64,375,7160,895,8,0
24,754087.68,-65507.47,98.7,-1.08,6/29/25,Operation Mincemeat,John Golden Theatre,120.89,325,6238,790,8,0
25,1247919.65,-106841.4,101.95,-0.27,6/29/25,The Outsiders,Bernard B. Jacobs Theatre,149.42,497,8352,1024,8,0
26,2092068.88,436208.38,101.43,0.15,6/29/25,The Picture of Dorian Gray,Music Box Theatre,259.11,797,8074,995,8,0
27,471843.5,-97513,89.49,-8.77,6/29/25,Pirates! The Penzance Musical,Todd Haimes Theatre,90.65,312,5205,727,8,0
28,682105.25,8205.55,98.67,0,6/29/25,Purpose,Helen Hayes Theater,148.74,399,4586,581,8,0
29,758027.88,249483.78,93.09,12.38,6/29/25,Real Women Have Curves,James Earl Jones Theatre,96.48,295,7857,1055,8,0
30,717534.25,-102599.7,80.87,-7.98,6/29/25,SIX: The Musical,Lena Horne Theatre,107.58,269,6670,1031,8,0
31,474654.4,157291.4,97.08,24.88,6/29/25,Stephen Sondheim's Old Friends,Samuel J. Friedman Theatre,95.04,400,4994,643,8,0
32,1011369.25,-128932.25,80.36,-6.04,6/29/25,Stranger Things: The First Shadow,Marquis Theatre,98.7,281,10247,1594,8,0
33,1851486.8,23945.9,97.06,-0.05,6/29/25,Sunset Boulevard,St. James Theatre,148.45,599,12472,1606,8,0
34,2435607,-49193,100,0,6/29/25,Wicked,Gershwin Theatre,158.07,352,15408,1926,8,0
0,1014299,152757.5,97.69,4.49,6/22/25,& Juliet,Stephen Sondheim Theatre,126.5,324,8018,1026,8,0
1,1524125.2,121869.2,98.47,1.71,6/22/25,Aladdin,New Amsterdam Theatre,112.04,279.5,13604,1727,8,0
2,938792.05,115669.7,96.7,5.01,6/22/25,The Book of Mormon,Eugene O'Neill Theatre,113.83,239,8247,1066,8,0
3,602016.85,89267,81.43,2.89,6/22/25,BOOP! The Musical,Broadhurst Theatre,81.28,297,7407,1137,8,0
4,1296864.25,7868.79,99.15,-0.34,6/22/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,155.85,425,8321,1049,8,0
5,944982.28,182267.02,93.01,6.85,6/22/25,Cabaret,August Wilson Theatre,118.69,349,7962,1070,8,0
6,604213.25,139689,61.75,-8.61,6/22/25,Call Me Izzy,Studio 54,130.67,377.5,4624,936,8,0
7,603630.53,62228.43,70.2,6.22,6/22/25,Chicago,Ambassador Theatre,99.53,237,6065,1080,8,0
8,475175,25509.5,74.68,5.31,6/22/25,Dead Outlaw,Longacre Theatre,75.89,297,6261,1048,8,0
9,1458333.2,129384.3,98.78,6.17,6/22/25,Death Becomes Her,Lunt-Fontanne Theatre,123.78,299,11782,1491,8,0
10,754317,258106,91.13,11.61,6/22/25,Floyd Collins,Vivian Beaumont Theater,97.89,277,7706,1057,8,0
11,2234152,-31109.4,100.57,4.25,6/22/25,Glengarry Glen Ross,Palace Theatre,212.61,799,10508,1306,8,0
12,1096886,30586.15,95.21,3.81,6/22/25,The Great Gatsby,Broadway Theatre,96.98,277,11311,1485,8,0
13,1287579.88,223124.86,83.85,7.47,6/22/25,Gypsy,Majestic Theatre,120.72,397,10666,1590,8,0
14,820384.5,90303.5,99.8,5,6/22/25,Hadestown,Walter Kerr Theatre,111.94,0,7329,918,8,0
15,2169797,107345,101.44,1,6/22/25,Hamilton,Richard Rodgers Theatre,201.94,349,10745,1324,8,0
16,1284587.05,240347.7,90.31,11.65,6/22/25,Harry Potter and the Cursed Child,Lyric Theatre,109.62,239,11719,1622,8,0
17,1041203.15,129956.1,94.4,6.93,6/22/25,Hell's Kitchen,Sam S. Shubert Theatre,94.63,297,11003,1457,8,0
18,855327.22,4661.27,102.54,0.29,6/22/25,John Proctor is the Villain,Booth Theatre,135.06,475,6333,772,8,0
19,1286048.5,14698.5,103.62,0.87,6/22/25,Just in Time,Circle in the Square Theatre,224.83,574.5,5720,690,8,0
20,604087.75,123153.55,85.69,11.6,6/22/25,The Last Five Years,Hudson Theatre,91.03,425,6636,968,8,0
21,2141943.8,54997.05,99.82,1.43,6/22/25,The Lion King,Minskoff Theatre,158.16,249,13543,1696,8,0
22,1281052.15,44822.1,101.34,-1.19,6/22/25,Maybe Happy Ending,Belasco Theatre,162.41,475,7888,973,8,0
23,1369468,152350.5,90.9,1.51,6/22/25,MJ The Musical,Neil Simon Theatre,135.78,299,10086,1387,8,0
24,1020128.8,140497.8,96.13,4.37,6/22/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,102.04,0,9997,1300,8,0
25,1310040.56,-44799.94,100,0,6/22/25,"Oh, Mary!",Lyceum Theatre,182.97,425,7160,895,8,0
26,819595.15,56194.95,99.78,1.3,6/22/25,Operation Mincemeat,John Golden Theatre,129.97,325,6306,790,8,0
27,1354761.05,108425.45,102.22,0.77,6/22/25,The Outsiders,Bernard B. Jacobs Theatre,161.78,497,8374,1024,8,0
28,1655860.5,147479.06,101.28,-0.13,6/22/25,The Picture of Dorian Gray,Music Box Theatre,234.74,597,7054,995,7,0
29,569356.5,67077,98.26,6,6/22/25,Pirates! The Penzance Musical,Todd Haimes Theatre,99.62,372,5715,727,8,0
30,673899.7,37519.1,98.67,-0.17,6/22/25,Purpose,Helen Hayes Theater,146.95,399,4586,581,8,0
31,508544.1,143291.92,80.71,17.65,6/22/25,Real Women Have Curves,James Earl Jones Theatre,74.65,275,6812,1055,8,0
32,820133.95,141467.95,88.85,9.42,6/22/25,SIX: The Musical,Lena Horne Theatre,111.92,269,7328,1031,8,0
33,977805.06,401499.11,84.31,15.95,6/22/25,Smash,Imperial Theatre,102.74,297,9517,1411,8,0
34,317363,-133632,72.2,-16.06,6/22/25,Stephen Sondheim's Old Friends,Samuel J. Friedman Theatre,85.45,400,3714,643,8,0
35,1140301.5,124125.5,86.4,2.73,6/22/25,Stranger Things: The First Shadow,Marquis Theatre,103.49,281,11018,1594,8,0
36,1827540.9,161779,97.11,5.49,6/22/25,Sunset Boulevard,St. James Theatre,146.46,0,12478,1606,8,0
37,2484800,143746,100,0,6/22/25,Wicked,Gershwin Theatre,161.27,352,15408,1926,8,0
0,861541.5,39210.7,93.2,1.53,6/15/25,& Juliet,Stephen Sondheim Theatre,112.62,324,7650,1026,8,0
1,1402256,115307.5,96.76,1.36,6/15/25,Aladdin,New Amsterdam Theatre,104.9,225.5,13368,1727,8,0
2,823122.35,31945.8,91.69,1.93,6/15/25,The Book of Mormon,Eugene O'Neill Theatre,105.27,269,7819,1066,8,0
3,512749.85,-41445.55,78.54,-7.01,6/15/25,BOOP! The Musical,Broadhurst Theatre,71.77,297,7144,1137,8,0
4,1288995.46,62114.11,99.49,-0.02,6/15/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,154.39,447,8349,1049,8,0
5,762715.26,96546.36,86.16,10.1,6/15/25,Cabaret,August Wilson Theatre,103.42,299,7375,1070,8,0
6,464524.25,47765.25,70.36,-5.51,6/15/25,Call Me Izzy,Studio 54,100.76,377.5,4610,936,4,3
7,541402.1,29659.95,63.98,2.63,6/15/25,Chicago,Ambassador Theatre,97.94,237,5528,1080,8,0
8,449665.5,-54040.9,69.37,-10.76,6/15/25,Dead Outlaw,Longacre Theatre,77.32,297,5816,1048,8,0
9,1328948.9,-18974.95,92.61,-7.28,6/15/25,Death Becomes Her,Lunt-Fontanne Theatre,120.31,299,11046,1491,8,0
10,496211,-11737,79.52,2.96,6/15/25,Floyd Collins,Vivian Beaumont Theater,73.8,277,6724,1057,8,0
11,2265261.4,-92838,96.32,1.99,6/15/25,Glengarry Glen Ross,Palace Theatre,225.09,799,10064,1306,8,0
12,1066299.85,10261.45,91.4,0.58,6/15/25,The Great Gatsby,Broadway Theatre,98.2,277,10858,1485,8,0
13,1064455.02,21668.94,76.38,6.99,6/15/25,Gypsy,Majestic Theatre,109.57,397,9715,1590,8,0
14,730081,-26670,94.8,-2.18,6/15/25,Hadestown,Walter Kerr Theatre,104.87,0,6962,918,8,0
15,2062452,76148,100.44,1.1,6/15/25,Hamilton,Richard Rodgers Theatre,193.86,325,10639,1324,8,0
16,1044239.35,105521.35,78.66,-3.96,6/15/25,Harry Potter and the Cursed Child,Lyric Theatre,102.31,239,10207,1622,8,0
17,911247.05,26909.95,87.47,3.49,6/15/25,Hell's Kitchen,Sam S. Shubert Theatre,89.38,297,10195,1457,8,0
18,850665.95,77177.05,102.25,-0.21,6/15/25,John Proctor is the Villain,Booth Theatre,134.71,405,6315,772,8,0
19,1271350,23588,102.75,-0.57,6/15/25,Just in Time,Circle in the Square Theatre,224.14,574.5,5672,690,8,0
20,480934.2,36214.2,74.09,4.59,6/15/25,The Last Five Years,Hudson Theatre,74.51,425,6455,968,9,0
21,2086946.75,84479,98.39,-0.23,6/15/25,The Lion King,Minskoff Theatre,156.34,259,13349,1696,8,0
22,1236230.05,76686.65,102.53,0.2,6/15/25,Maybe Happy Ending,Belasco Theatre,154.9,475,7981,973,8,0
23,1217117.5,72619.5,89.39,3.83,6/15/25,MJ The Musical,Neil Simon Theatre,122.71,269,9919,1387,8,0
24,879631,-640.8,91.76,0.39,6/15/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,92.18,0,9543,1300,8,0
25,1354840.5,152053,100,0,6/15/25,"Oh, Mary!",Lyceum Theatre,189.22,425,7160,895,8,0
26,763400.2,-12246.9,98.48,-1.12,6/15/25,Operation Mincemeat,John Golden Theatre,122.65,325,6224,790,8,0
27,1246335.6,29626.65,101.45,0.17,6/15/25,The Outsiders,Bernard B. Jacobs Theatre,149.96,497,8311,1024,8,0
28,1508381.44,140594.34,101.41,0.06,6/15/25,The Picture of Dorian Gray,Music Box Theatre,213.56,597,7063,995,7,0
29,502279.5,34209.5,92.26,2.73,6/15/25,Pirates! The Penzance Musical,Todd Haimes Theatre,93.6,342,5366,727,8,0
30,636380.6,101331.7,98.84,0.97,6/15/25,Purpose,Helen Hayes Theater,138.52,380,4594,581,8,0
31,365252.18,-49179.87,63.06,-9,6/15/25,Real Women Have Curves,James Earl Jones Theatre,68.63,275,5322,1055,8,0
32,678666,55293.75,79.43,6.82,6/15/25,SIX: The Musical,Lena Horne Theatre,103.6,269,6551,1031,8,0
33,576305.95,-79855.35,68.36,1.88,6/15/25,Smash,Imperial Theatre,85.35,297,6752,1411,7,0
34,450995,-59707,88.26,-0.97,6/15/25,Stephen Sondheim's Old Friends,Samuel J. Friedman Theatre,99.34,400,4540,643,8,0
35,1016176,124387,83.67,5.49,6/15/25,Stranger Things: The First Shadow,Marquis Theatre,95.24,281,10670,1594,8,0
36,1665761.9,404548.19,91.62,2.8,6/15/25,Sunset Boulevard,St. James Theatre,137.91,0,12079,1648,8,0
37,2341054,-72751,100,0,6/15/25,Wicked,Gershwin Theatre,151.94,352,15408,1926,8,0
0,822330.8,8869.7,91.67,-4.47,6/8/25,& Juliet,Stephen Sondheim Theatre,109.29,324,7524,1026,8,0
1,1286948.5,-79141.9,95.4,-1.18,6/8/25,Aladdin,New Amsterdam Theatre,97.64,215.5,13181,1727,8,0
2,791176.55,10467.11,89.76,-1.08,6/8/25,The Book of Mormon,Eugene O'Neill Theatre,103.35,269,7655,1066,8,0
3,554195.4,61984.5,85.55,7.48,6/8/25,BOOP! The Musical,Broadhurst Theatre,71.22,297,7782,1137,8,0
4,1226881.35,64984.75,99.51,-0.38,6/8/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,146.91,397,8351,1049,8,0
5,666168.9,-67462.3,76.06,-2.21,6/8/25,Cabaret,August Wilson Theatre,102.31,269,6511,1070,8,0
6,416759,-51088.75,75.87,8.56,6/8/25,Call Me Izzy,Studio 54,97.81,377.5,4261,936,0,6
7,511742.15,-18240.8,61.35,-4.53,6/8/25,Chicago,Ambassador Theatre,96.54,237,5301,1080,8,0
8,503706.4,38168,80.13,1.71,6/8/25,Dead Outlaw,Longacre Theatre,74.98,297,6718,1048,8,0
9,1347923.85,1759.8,99.89,5.24,6/8/25,Death Becomes Her,Lunt-Fontanne Theatre,129.28,399,10426,1491,7,0
10,507948,38224,76.56,2.6,6/8/25,Floyd Collins,Vivian Beaumont Theater,78.46,277,6474,1057,8,0
11,2358099.4,352845.4,94.33,1.51,6/8/25,Glengarry Glen Ross,Palace Theatre,239.26,799,9856,1306,8,0
12,4331225.66,85627.16,101.28,-0.46,6/8/25,"Good Night, and Good Luck",Winter Garden Theatre,347.78,825,12454,1537,8,0
13,1056038.4,-19723.7,90.82,-2.41,6/8/25,The Great Gatsby,Broadway Theatre,97.87,277,10790,1485,8,0
14,1042786.08,-67173.08,69.39,-7.08,6/8/25,Gypsy,Majestic Theatre,118.14,397,8827,1590,8,0
15,756751,35435.5,96.98,0.08,6/8/25,Hadestown,Walter Kerr Theatre,106.26,0,7122,918,8,0
16,1986304,59951,99.34,-0.21,6/8/25,Hamilton,Richard Rodgers Theatre,188.78,325,10522,1324,8,0
17,938718,84400.85,82.62,7.79,6/8/25,Harry Potter and the Cursed Child,Lyric Theatre,87.56,249,10721,1622,8,0
18,884337.1,-55429.36,83.98,-3.29,6/8/25,Hell's Kitchen,Sam S. Shubert Theatre,90.34,297,9789,1457,8,0
19,773488.9,104823.88,102.46,1.93,6/8/25,John Proctor is the Villain,Booth Theatre,122.23,397,6328,772,8,0
20,1247762,30033,103.32,0,6/8/25,Just in Time,Circle in the Square Theatre,218.79,496.5,5703,690,8,0
21,444720,-15788.45,69.5,-10.16,6/8/25,The Last Five Years,Hudson Theatre,82.63,425,5382,968,8,0
22,2002467.75,-6270.25,98.62,-0.24,6/8/25,The Lion King,Minskoff Theatre,149.65,229,13381,1696,8,0
23,1159543.4,54735.87,102.33,1.2,6/8/25,Maybe Happy Ending,Belasco Theatre,145.58,425,7965,973,8,0
24,1144498,4818.1,85.56,2.98,6/8/25,MJ The Musical,Neil Simon Theatre,120.55,269,9494,1387,8,0
25,880271.8,-65541.6,91.37,-4.52,6/8/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,92.64,0,9502,1300,8,0
26,1202787.5,32681.02,100,0,6/8/25,"Oh, Mary!",Lyceum Theatre,167.99,375,7160,895,8,0
27,775647.1,45694.4,99.6,-0.4,6/8/25,Operation Mincemeat,John Golden Theatre,123.22,375,6295,790,8,0
28,3807875.04,257618.4,100,0,6/8/25,Othello,Ethel Barrymore Theatre,456.36,897,8344,1043,8,0
29,1216708.95,15052.3,101.28,0.6,6/8/25,The Outsiders,Bernard B. Jacobs Theatre,146.64,497,8297,1024,8,0
30,1367787.1,-108131.9,101.35,0.45,6/8/25,The Picture of Dorian Gray,Music Box Theatre,193.76,497,7059,995,7,0
31,468070,-4918,89.53,-2.25,6/8/25,Pirates! The Penzance Musical,Todd Haimes Theatre,89.89,342,5207,727,8,0
32,535048.9,-75673.9,97.87,-1.94,6/8/25,Purpose,Helen Hayes Theater,117.62,300,4549,581,8,0
33,414432.05,22433.44,72.06,4.2,6/8/25,Real Women Have Curves,James Earl Jones Theatre,68.14,275,6082,1055,8,0
34,623372.25,-9775.75,72.61,-4.86,6/8/25,SIX: The Musical,Lena Horne Theatre,104.09,269,5989,1031,8,0
35,656161.3,30752.65,66.48,-1.91,6/8/25,Smash,Imperial Theatre,87.44,297,7504,1411,8,0
36,510702,-72963,89.23,-1.73,6/8/25,Stephen Sondheim's Old Friends,Samuel J. Friedman Theatre,111.26,400,4590,643,8,0
37,891789,-5011.05,78.18,-4.88,6/8/25,Stranger Things: The First Shadow,Marquis Theatre,89.46,281,9969,1594,8,0
38,1261213.71,8211.21,88.82,0.07,6/8/25,Sunset Boulevard,St. James Theatre,110.51,0,11413,1606,8,0
39,2413805,111151,100,0,6/8/25,Wicked,Gershwin Theatre,156.66,352,15408,1926,8,0
0,813461.1,-83968.5,96.14,-2.29,6/1/25,& Juliet,Stephen Sondheim Theatre,103.09,324,7891,1026,8,0
1,1366090.4,16964.6,96.58,-0.85,6/1/25,Aladdin,New Amsterdam Theatre,102.37,215.5,13344,1727,8,0
2,780709.44,-139474.11,90.84,-6.89,6/1/25,The Book of Mormon,Eugene O'Neill Theatre,100.78,269,7747,1066,8,0
3,492210.9,-36277.97,78.07,-4.23,6/1/25,BOOP! The Musical,Broadhurst Theatre,69.32,297,7101,1137,8,0
4,1161896.6,-78788.75,99.89,-1.47,6/1/25,Buena Vista Social Club,Gerald Schoenfeld Theatre,138.6,350,8383,1049,8,0
5,733631.2,-170330.4,78.27,-9.78,6/1/25,Cabaret,August Wilson Theatre,109.5,349,6700,1070,8,0
6,467847.75,256675.5,67.31,-26.71,6/1/25,Call Me Izzy,Studio 54,106.09,377.5,4410,936,0,7
7,529982.95,-83284.5,65.88,-8.31,6/1/25,Chicago,Ambassador Theatre,93.11,237,5692,1080,8,0
8,465538.4,-101334.6,78.42,-8.53,6/1/25,Dead Outlaw,Longacre Theatre,70.8,297,6575,1048,8,0
9,1346164.05,-213760.1,94.65,-4.96,6/1/25,Death Becomes Her,Lunt-Fontanne Theatre,119.24,349,11290,1491,8,0
10,469724,-33975.5,73.96,-2.03,6/1/25,Floyd Collins,Vivian Beaumont Theater,75.11,277,6254,1057,8,0
11,2005254,-745354,92.82,-4.7,6/1/25,Glengarry Glen Ross,Palace Theatre,236.3,799,8486,1306,7,0
12,4245598.5,6785.06,101.74,-0.37,6/1/25,"Good Night, and Good Luck",Winter Garden Theatre,339.38,825,12510,1537,8,0
13,1075762.1,-53084,93.23,-1.69,6/1/25,The Great Gatsby,Broadway Theatre,97.13,344,11076,1485,8,0
14,1109959.16,-34379.96,76.47,2.55,6/1/25,Gypsy,Majestic Theatre,114.11,397,9727,1590,8,0
15,721315.5,-59384.5,96.9,-1.43,6/1/25,Hadestown,Walter Kerr Theatre,101.37,0,7116,918,8,0
16,1926353,-30408.5,99.55,-1.78,6/1/25,Hamilton,Richard Rodgers Theatre,182.7,325,10544,1324,8,0
17,854317.15,-152400.5,74.83,-5.78,6/1/25,Harry Potter and the Cursed Child,Lyric Theatre,87.98,249,9710,1622,8,0
18,939766.46,-16463.34,87.27,-1.08,6/1/25,Hell's Kitchen,Sam S. Shubert Theatre,92.39,297,10172,1457,8,0
19,668665.02,-7942.01,100.53,-1.79,6/1/25,John Proctor is the Villain,Booth Theatre,107.69,397,6209,772,8,0
20,1217729,207.48,103.32,-0.1,6/1/25,Just in Time,Circle in the Square Theatre,213.52,496.5,5703,690,8,0
21,460508.45,-74638,79.66,-8.59,6/1/25,The Last Five Years,Hudson Theatre,74.65,425,6169,968,8,0
22,2008738,-46483.5,98.86,0.16,6/1/25,The Lion King,Minskoff Theatre,149.75,225,13414,1696,8,0
23,1104807.53,13139.08,101.13,-0.64,6/1/25,Maybe Happy Ending,Belasco Theatre,140.35,425,7872,973,8,0
24,1139679.9,-102219.65,82.58,-5.38,6/1/25,MJ The Musical,Neil Simon Theatre,124.38,269,9163,1387,8,0
25,945813.4,-332040.6,95.89,-2.52,6/1/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,94.84,0,9973,1300,8,0
26,1170106.48,-18635.66,100,0,6/1/25,"Oh, Mary!",Lyceum Theatre,163.42,375,7160,895,8,0
27,729952.7,-70414.55,100,0,6/1/25,Operation Mincemeat,John Golden Theatre,115.5,325,6320,790,8,0
28,3550256.64,222751.08,100,0,6/1/25,Othello,Ethel Barrymore Theatre,425.49,897,8344,1043,8,0
29,1201656.65,-66500.9,100.68,-0.77,6/1/25,The Outsiders,Bernard B. Jacobs Theatre,145.69,497,8248,1024,8,0
30,1475919,362528.5,100.9,-0.26,6/1/25,The Picture of Dorian Gray,Music Box Theatre,183.75,497,8032,995,8,0
31,472988,-72775.1,91.78,-6.11,6/1/25,Pirates! The Penzance Musical,Todd Haimes Theatre,88.61,357,5338,727,8,0
32,610722.8,5829.5,99.81,-0.17,6/1/25,Purpose,Helen Hayes Theater,131.65,300,4639,581,8,0
33,391998.61,-13421.64,67.86,-4.75,6/1/25,Real Women Have Curves,James Earl Jones Theatre,68.45,275,5727,1055,8,0
34,633148,-79484.25,77.47,-6.42,6/1/25,SIX: The Musical,Lena Horne Theatre,99.08,269,6390,1031,8,0
35,625408.65,-247297.25,68.39,-15.19,6/1/25,Smash,Imperial Theatre,81.01,297,7720,1411,8,0
36,583665,-50270,90.96,-0.04,6/1/25,Stephen Sondheim's Old Friends,Samuel J. Friedman Theatre,124.74,400,4679,643,8,0
