DBN,School Name,School Code,Borough,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
29Q270,The Gordon Parks School,Q270,Q,"$7,250.76 ","$23,619.26 ","$21,613.00 ","$2,006.26 ",4,0.50%,713,94.90%,20,2.70%,12,1.60%,2,0.30%,99.70%,119,15.80%,4,0.50%,535,71.20%,41.90%,751,$31.45 
01M450,East Side Community School,M450,M,"$14,726.88 ","$20,909.60 ","$20,696.72 ","$14,939.76 ",80,11.80%,113,16.60%,366,53.80%,17,2.50%,104,15.30%,84.70%,184,27.10%,9,1.30%,452,66.50%,64.10%,680,$30.75 
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,Q028,Q,$300.61 ,"$14,521.40 ","$14,222.80 ",$298.60 ,30,6.30%,0,0.00%,439,92.80%,2,0.40%,2,0.40%,99.60%,95,20.10%,300,63.40%,374,79.10%,82.50%,473,$30.70 
16K243,P.S. 243K- The Weeksville School,K243,K,"$2,335.31 ","$7,453.79 ","$5,810.57 ","$1,643.22 ",9,3.70%,172,70.80%,54,22.20%,6,2.50%,2,0.80%,99.20%,68,28.00%,14,5.80%,225,92.60%,92.80%,243,$30.67 
24Q012,P.S. 012 James B. Colgate,Q012,Q,"$3,416.30 ","$35,420.52 ","$33,377.90 ","$1,642.62 ",637,55.10%,1,0.10%,471,40.70%,11,1.00%,37,3.20%,96.80%,174,15.00%,350,30.30%,1001,86.50%,74.10%,1157,$30.61 
22K194,P.S. 194 Raoul Wallenberg,K194,K,$175.00 ,"$16,934.30 ","$16,801.44 ",$132.86 ,65,11.70%,258,46.30%,111,19.90%,8,1.40%,115,20.60%,79.40%,151,27.10%,72,12.90%,491,88.20%,91.00%,557,$30.40 
25Q164,P.S. 164 Queens Valley,Q164,Q,"$1,073.17 ","$20,590.80 ","$16,719.70 ","$3,871.10 ",216,31.90%,33,4.90%,177,26.10%,10,1.50%,242,35.70%,64.30%,116,17.10%,90,13.30%,497,73.30%,55.80%,678,$30.37 
30Q361,The Woodside Community School,Q361,Q,"$6,821.40 ","$10,464.84 ","$8,023.53 ","$9,262.71 ",125,36.10%,4,1.20%,190,54.90%,8,2.30%,19,5.50%,94.50%,43,12.40%,83,24.00%,264,76.30%,62.90%,346,$30.25 
09X236,P.S. 236 Langston Hughes,X236,X,"$8,825.89 ","$9,855.89 ","$3,577.11 ","$6,278.78 ",1,0.30%,80,24.50%,241,73.70%,2,0.60%,3,0.90%,99.10%,85,26.00%,42,12.80%,312,95.40%,91.50%,327,$30.14 
31R007,I.S. 007 Elias Bernstein,R007,R,"$78,083.59 ","$34,986.60 ","$97,880.79 ","$15,189.40 ",79,6.80%,8,0.70%,129,11.10%,18,1.50%,933,79.90%,20.10%,216,18.50%,20,1.70%,428,36.70%,26.70%,1167,$29.98 
30Q149,P.S. 149 Christa McAuliffe,Q149,Q,"$1,754.27 ","$29,283.02 ","$25,984.12 ","$3,298.90 ",95,9.70%,12,1.20%,839,85.70%,7,0.70%,26,2.70%,97.30%,186,19.00%,374,38.20%,733,74.90%,77.50%,979,$29.91 
