DBN,School Name,School Code,Borough,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
03M087,P.S. 087 William Sherman,M087,M,"$1,223,341.00 ","$2,086,338.00 ","$839,122.00 ","$1,247,216.00 ",70,7.80%,28,3.10%,130,14.50%,86,9.60%,584,65.00%,35.00%,161,17.90%,27,3.00%,88,9.80%,11.20%,898,"$2,323.32 "
28Q196,P.S. 196 Grand Central Parkway,Q196,Q,"$670,309.59 ","$2,275,423.19 ","$1,598,248.33 ","$677,174.86 ",387,37.90%,21,2.10%,114,11.20%,70,6.80%,430,42.10%,57.90%,130,12.70%,66,6.50%,268,26.20%,20.90%,1022,"$2,226.44 "
15K058,P.S. 058 The Carroll,K058,K,"$242,679.00 ","$2,104,019.00 ","$1,940,381.00 ","$163,638.00 ",34,3.40%,21,2.10%,107,10.60%,97,9.60%,750,74.30%,25.70%,123,12.20%,45,4.50%,120,11.90%,11.30%,1009,"$2,085.25 "
03M334,The Anderson School,M334,M,"$1,825,898.20 ","$1,030,522.95 ","$727,172.71 ","$2,129,248.44 ",152,29.10%,13,2.50%,47,9.00%,59,11.30%,251,48.10%,51.90%,42,8.00%,1,0.20%,78,14.90%,13.90%,522,"$1,974.18 "
02M158,P.S. 158 Bayard Taylor,M158,M,$0.00 ,"$1,466,193.00 ","$1,429,344.00 ","$36,849.00 ",103,12.90%,16,2.00%,64,8.00%,52,6.50%,561,70.50%,29.50%,117,14.70%,43,5.40%,93,11.70%,10.80%,796,"$1,841.95 "
15K029,P.S. 029 John M. Harrigan,K029,K,"$604,229.00 ","$1,733,654.00 ","$1,657,418.00 ","$680,465.00 ",47,4.90%,25,2.60%,107,11.30%,65,6.80%,706,74.30%,25.70%,120,12.60%,29,3.10%,127,13.40%,11.70%,950,"$1,824.90 "
13K008,P.S. 008 Robert Fulton,K008,K,"$486,806.44 ","$1,567,065.44 ","$1,055,763.00 ","$511,302.40 ",58,6.40%,124,13.80%,115,12.80%,76,8.40%,528,58.60%,41.40%,101,11.20%,26,2.90%,176,19.50%,18.00%,901,"$1,739.25 "
02M077,P.S. 77 Lower Lab School,M077,M,"$491,073.00 ","$589,848.00 ","$531,821.00 ","$549,099.00 ",118,32.80%,1,0.30%,17,4.70%,42,11.70%,182,50.60%,49.40%,32,8.90%,0,0.00%,39,10.80%,9.10%,360,"$1,638.47 "
03M054,J.H.S. 054 Booker T. Washington,M054,M,"$818,222.56 ","$1,420,260.77 ","$521,844.03 ","$898,416.74 ",100,11.50%,69,8.00%,135,15.60%,76,8.80%,487,56.20%,43.80%,119,13.70%,10,1.20%,168,19.40%,22.50%,867,"$1,638.13 "
03M245,M.S. M245 The Computer School,M245,M,"$412,311.00 ","$622,414.00 ","$94,518.00 ","$527,896.00 ",31,7.70%,51,12.70%,116,28.80%,25,6.20%,180,44.70%,55.30%,84,20.80%,7,1.70%,115,28.50%,31.00%,403,"$1,544.45 "
02M041,P.S. 041 Greenwich Village,M041,M,"$627,391.00 ","$1,023,319.00 ","$975,740.00 ","$673,784.68 ",51,7.30%,10,1.40%,63,9.10%,90,13.00%,480,69.20%,30.80%,112,16.10%,11,1.60%,49,7.10%,7.60%,694,"$1,474.52 "
02M130,P.S. 130 Hernando De Soto,M130,M,"$941,845.00 ","$1,230,293.00 ","$358,525.00 ","$871,768.00 ",749,87.30%,7,0.80%,48,5.60%,30,3.50%,24,2.80%,97.20%,139,16.20%,137,16.00%,385,44.90%,54.50%,858,"$1,433.91 "
02M059,P.S. 059 Beekman Hill International,M059,M,"$580,951.59 ","$851,102.86 ","$864,103.82 ","$567,950.18 ",119,19.90%,8,1.30%,63,10.50%,61,10.20%,347,58.00%,42.00%,83,13.90%,28,4.70%,68,11.40%,7.80%,598,"$1,423.25 "
02M006,P.S. 006 Lillie D. Blake,M006,M,"$1,220,153.00 ","$936,143.84 ","$1,068,005.26 ","$1,033,236.92 ",115,17.10%,16,2.40%,41,6.10%,11,1.60%,488,72.70%,27.30%,103,15.40%,22,3.30%,82,12.20%,10.20%,671,"$1,395.15 "
10X696,High School of American Studies at Lehman College,X696,X,"$345,663.12 ","$565,302.87 ","$111,110.24 ","$454,192.63 ",89,21.70%,16,3.90%,40,9.70%,33,8.00%,233,56.70%,43.30%,11,2.70%,0,0.00%,98,23.80%,24.70%,411,"$1,375.43 "
13K492,Academy of Arts and Letters,K492,K,"$136,048.00 ","$679,998.00 ","$546,450.00 ","$133,548.00 ",31,5.90%,158,29.90%,81,15.30%,50,9.50%,208,39.40%,60.60%,110,20.80%,3,0.60%,118,22.30%,29.50%,528,"$1,287.88 "
03M009,P.S. 009 Sarah Anderson,M009,M,$0.00 ,"$783,805.00 ","$821,096.00 ","$37,291.00 ",52,8.50%,29,4.70%,111,18.20%,57,9.30%,362,59.20%,40.80%,111,18.20%,14,2.30%,135,22.10%,18.00%,611,"$1,282.82 "
03M243,M.S. 243 Center School,M243,M,"$82,862.28 ","$289,862.79 ","$178,441.93 ","$111,420.86 ",12,5.00%,25,10.40%,44,18.30%,23,9.50%,137,56.80%,43.20%,42,17.40%,0,0.00%,33,13.70%,20.60%,241,"$1,202.75 "
02M281,The River School,M281,M,"$154,783.11 ","$398,871.55 ","$182,349.11 ","$216,522.44 ",110,32.50%,31,9.20%,42,12.40%,16,4.70%,139,41.10%,58.90%,53,15.70%,59,17.50%,102,30.20%,19.30%,338,"$1,180.09 "
13K011,P.S. 011 Purvis J. Behan,K011,K,"$17,196,623.00 ","$1,046,661.40 ","$865,775.97 ","$180,885.43 ",22,2.50%,546,61.10%,122,13.60%,80,8.90%,124,13.90%,86.10%,92,10.30%,12,1.30%,351,39.30%,43.90%,894,"$1,170.76 "
02M290,P.S. 290 Manhattan New School,M290,M,"$930,581.76 ","$683,811.55 ","$778,843.80 ","$835,549.51 ",65,10.90%,17,2.90%,56,9.40%,36,6.10%,421,70.80%,29.20%,85,14.30%,13,2.20%,79,13.30%,8.80%,595,"$1,149.26 "
03M452,P.S. 452,M452,M,"$438,791.00 ","$427,044.00 ","$486,809.00 ","$364,542.00 ",49,13.00%,48,12.80%,60,16.00%,11,2.90%,208,55.30%,44.70%,67,17.80%,17,4.50%,115,30.60%,28.40%,376,"$1,135.76 "
02M150,P.S. 150,M150,M,"$377,010.00 ","$204,576.00 ","$255,827.00 ","$325,759.00 ",39,20.60%,1,0.50%,18,9.50%,17,9.00%,114,60.30%,39.70%,21,11.10%,4,2.10%,33,17.50%,13.60%,189,"$1,082.41 "
28Q101,P.S. 101 School in the Gardens,Q101,Q,"$210,553.70 ","$717,032.95 ","$515,426.00 ","$201,606.95 ",199,29.60%,20,3.00%,119,17.70%,56,8.30%,278,41.40%,58.60%,96,14.30%,27,4.00%,97,14.40%,13.40%,672,"$1,067.01 "
02M234,P.S. 234 Independence School,M234,M,"$375,489.73 ","$660,795.01 ","$647,614.29 ","$388,670.45 ",56,8.80%,11,1.70%,56,8.80%,55,8.60%,460,72.10%,27.90%,103,16.10%,8,1.30%,66,10.30%,8.40%,638,"$1,035.73 "
02M183,P.S. 183 Robert L. Stevenson,M183,M,"$227,436.00 ","$558,046.28 ","$551,132.32 ","$6,906.96 ",88,15.90%,15,2.70%,47,8.50%,33,6.00%,371,67.00%,33.00%,88,15.90%,34,6.10%,66,11.90%,6.30%,554,"$1,007.30 "
15K010,"Magnet School of Math, Science and Design Technology",K010,K,"$568,903.65 ","$943,960.31 ","$962,541.67 ","$550,322.29 ",83,8.70%,81,8.50%,257,27.00%,57,6.00%,473,49.70%,50.30%,186,19.60%,44,4.60%,203,21.30%,29.90%,951,$992.60 
20K686,Brooklyn School of Inquiry,K686,K,"$196,044.77 ","$506,740.18 ","$161,346.88 ","$541,438.07 ",109,20.40%,27,5.10%,25,4.70%,16,3.00%,357,66.90%,33.10%,45,8.40%,55,10.30%,141,26.40%,26.20%,534,$948.95 
02M267,"East Side Elementary School, PS 267",M267,M,"$362,424.00 ","$392,719.00 ","$342,406.00 ","$412,737.00 ",52,12.60%,4,1.00%,43,10.40%,12,2.90%,303,73.20%,26.80%,57,13.80%,19,4.60%,52,12.60%,8.30%,414,$948.60 
02M343,The Peck Slip School,M343,M,"$221,294.21 ","$423,874.81 ","$541,179.42 ","$103,989.60 ",74,15.80%,19,4.10%,60,12.80%,66,14.10%,249,53.20%,46.80%,85,18.20%,8,1.70%,60,12.80%,10.20%,468,$905.72 
02M527,P.S. 527 - East Side School for Social Action,M527,M,"$96,113.67 ","$388,063.06 ","$419,270.56 ","$64,906.17 ",54,12.50%,17,3.90%,61,14.20%,49,11.40%,250,58.00%,42.00%,70,16.20%,17,3.90%,73,16.90%,18.20%,431,$900.38 
02M340,Sixth Avenue Elementary School,M340,M,"$78,455.00 ","$300,469.00 ","$228,047.00 ","$150,876.00 ",29,8.60%,8,2.40%,39,11.50%,50,14.70%,213,62.80%,37.20%,64,18.90%,4,1.20%,27,8.00%,12.10%,339,$886.34 
03M199,P.S. 199 Jessie Isador Straus,M199,M,"$712,248.93 ","$705,415.81 ","$791,450.08 ","$626,214.66 ",132,16.10%,37,4.50%,76,9.20%,61,7.40%,516,62.80%,37.20%,141,17.20%,22,2.70%,113,13.70%,11.50%,822,$858.17 
15K038,P.S. 038 The Pacific,K038,K,"$75,505.81 ","$518,097.19 ","$533,592.81 ","$60,010.29 ",100,16.30%,187,30.50%,139,22.70%,49,8.00%,138,22.50%,77.50%,77,12.60%,27,4.40%,293,47.80%,50.20%,613,$845.18 
15K321,P.S. 321 William Penn,K321,K,"$205,045.39 ","$1,166,809.10 ","$1,209,366.71 ","$162,487.78 ",83,6.00%,38,2.80%,85,6.20%,116,8.40%,1059,76.70%,23.30%,182,13.20%,30,2.20%,119,8.60%,6.60%,1381,$844.90 
01M539,"New Explorations into Science, Technology and Math High School",M539,M,"$542,257.00 ","$1,479,000.00 ","$1,302,000.00 ","$719,257.00 ",584,33.30%,118,6.70%,199,11.30%,156,8.90%,697,39.70%,60.30%,161,9.20%,28,1.60%,412,23.50%,25.90%,1754,$843.22 
03M859,Special Music School,M859,M,"$88,956.56 ","$259,551.56 ","$143,620.00 ","$115,932.00 ",43,13.70%,31,9.90%,44,14.00%,49,15.60%,147,46.80%,53.20%,39,12.40%,1,0.30%,69,22.00%,30.40%,314,$826.60 
02M033,P.S. 033 Chelsea Prep,M033,M,"$284,208.00 ","$515,398.00 ","$397,937.00 ","$117,462.00 ",149,23.60%,116,18.40%,182,28.80%,56,8.90%,129,20.40%,79.60%,93,14.70%,38,6.00%,308,48.70%,48.70%,632,$815.50 
03M084,P.S. 084 Lillian Weber,M084,M,"$129,620.80 ","$528,029.63 ","$356,508.20 ","$171,521.43 ",27,4.10%,47,7.10%,215,32.40%,38,5.70%,336,50.70%,49.30%,108,16.30%,46,6.90%,248,37.40%,39.30%,663,$796.42 
75K372,P.S. 372 -The Children's School,K372,K,"$227,597.68 ","$164,057.85 ","$51,130.76 ","$112,927.09 ",10,4.80%,39,18.80%,58,28.00%,12,5.80%,88,42.50%,57.50%,207,100.00%,14,6.80%,84,40.60%,44.00%,207,$792.55 
02M276,Battery Park City School,M276,M,"$845,829.32 ","$646,377.93 ","$623,983.47 ","$868,223.78 ",172,20.30%,34,4.00%,116,13.70%,80,9.40%,447,52.70%,47.30%,156,18.40%,27,3.20%,128,15.10%,16.30%,849,$761.34 
15K107,P.S. 107 John W. Kimball,K107,K,"$104,295.23 ","$416,712.41 ","$229,798.60 ","$291,209.04 ",50,9.10%,23,4.20%,60,10.90%,13,2.40%,405,73.50%,26.50%,82,14.90%,15,2.70%,50,9.10%,9.40%,551,$756.28 
02M003,P.S. 003 Charrette School,M003,M,"$411,932.72 ","$524,672.67 ","$646,506.77 ","$290,098.62 ",69,9.40%,39,5.30%,119,16.30%,43,5.90%,461,63.10%,36.90%,143,19.60%,32,4.40%,163,22.30%,17.50%,731,$717.75 
02M040,P.S. 040 Augustus Saint-Gaudens,M040,M,"$666,144.00 ","$498,759.00 ","$561,676.00 ","$603,226.00 ",86,12.10%,12,1.70%,99,14.00%,72,10.20%,439,62.00%,38.00%,113,16.00%,18,2.50%,81,11.40%,13.90%,708,$704.46 
01M315,The East Village Community School,M315,M,"$114,530.64 ","$231,777.51 ","$142,160.57 ","$89,616.94 ",32,9.60%,15,4.50%,77,23.10%,18,5.40%,191,57.40%,42.60%,52,15.60%,5,1.50%,90,27.00%,34.30%,333,$696.03 
13K020,P.S. 020 Clinton Hill,K020,K,"$6,614.00 ","$324,492.96 ","$281,322.00 ","$43,140.96 ",14,2.90%,207,43.00%,100,20.80%,28,5.80%,132,27.40%,72.60%,71,14.80%,23,4.80%,281,58.40%,48.90%,481,$674.62 
02M297,M.S. 297,M297,M,"$29,003.54 ","$375,060.02 ","$210,444.35 ","$163,015.67 ",48,8.60%,53,9.40%,129,23.00%,26,4.60%,305,54.40%,45.60%,121,21.60%,19,3.40%,153,27.30%,29.60%,561,$668.56 
07X031,P.S./M.S. 031 The William Lloyd Garrison,X031,X,"$3,058.00 ","$464,423.00 ","$3,320.06 ","$15,862.00 ",22,3.10%,189,26.40%,473,66.10%,8,1.10%,24,3.40%,96.60%,161,22.50%,94,13.10%,636,88.80%,91.00%,716,$648.64 
30Q300,The 30th Avenue School (G&T Citywide),Q300,Q,"$222,461.75 ","$339,559.42 ","$32,433,819.00 ","$237,682.98 ",244,46.60%,22,4.20%,52,9.90%,51,9.70%,155,29.60%,70.40%,24,4.60%,9,1.70%,131,25.00%,29.40%,524,$648.01 
02M896,Lower Manhattan Community Middle School,M896,M,"$248,963.74 ","$248,963.74 ","$218,216.30 ","$30,747.44 ",166,43.10%,39,10.10%,61,15.80%,15,3.90%,104,27.00%,73.00%,109,28.30%,23,6.00%,210,54.50%,53.80%,385,$646.66 
02M312,New York City Lab Middle School for Collaborative Studies,M312,M,"$354,221.49 ","$354,221.49 ","$198,025.39 ","$156,196.10 ",360,63.90%,7,1.20%,30,5.30%,35,6.20%,131,23.30%,76.70%,82,14.60%,9,1.60%,194,34.50%,37.10%,563,$629.17 
31R005,P.S. 005 Huguenot,R005,R,"$59,049.38 ","$194,170.70 ","$169,462.61 ","$83,757.47 ",12,3.80%,0,0.00%,23,7.30%,2,0.60%,276,88.20%,11.80%,71,22.70%,6,1.90%,68,21.70%,17.30%,313,$620.35 
02M289,I.S. 289,M289,M,"$160,804.93 ","$174,937.51 ","$143,031.80 ","$31,905.71 ",138,48.60%,12,4.20%,42,14.80%,8,2.80%,84,29.60%,70.40%,65,22.90%,14,4.90%,150,52.80%,47.60%,284,$615.98 
02M212,P.S. 212 Midtown West,M212,M,"$297,788.14 ","$214,533.00 ","$216,240.00 ","$341,884.00 ",60,16.50%,25,6.90%,85,23.40%,25,6.90%,168,46.30%,53.70%,40,11.00%,8,2.20%,74,20.40%,24.50%,363,$591.00 
15K039,P.S. 039 Henry Bristow,K039,K,"$248,104.00 ","$240,219.00 ","$211,830.00 ","$276,494.00 ",33,8.00%,18,4.40%,36,8.70%,8,1.90%,317,76.90%,23.10%,43,10.40%,17,4.10%,55,13.30%,14.80%,412,$583.06 
02M255,M.S. 255 Salk School of Science,M255,M,"$429,418.00 ","$218,177.00 ","$159,786.00 ","$58,391.00 ",72,18.30%,8,2.00%,38,9.60%,32,8.10%,244,61.90%,38.10%,62,15.70%,1,0.30%,56,14.20%,13.70%,394,$553.75 
15K154,The Windsor Terrace School,K154,K,"$462,931.46 ","$299,754.79 ","$346,975.31 ","$401,643.67 ",38,6.90%,17,3.10%,97,17.60%,35,6.30%,365,66.10%,33.90%,98,17.80%,18,3.30%,90,16.30%,17.90%,552,$543.03 
02M416,Eleanor Roosevelt High School,M416,M,"$237,840.00 ","$282,975.00 ","$238,318.00 ","$282,497.00 ",81,15.30%,14,2.60%,53,10.00%,33,6.20%,349,65.80%,34.20%,83,15.70%,0,0.00%,103,19.40%,19.00%,530,$533.92 
02M407,Institute for Collaborative Education,M407,M,"$64,881.00 ","$255,009.00 ","$207,958.00 ","$47,051.00 ",34,7.00%,108,22.20%,93,19.10%,20,4.10%,231,47.50%,52.50%,80,16.50%,2,0.40%,133,27.40%,35.10%,486,$524.71 
01M696,Bard High School Early College,M696,M,"$101,207.37 ","$317,604.51 ","$25,681,247.00 ","$161,999.41 ",178,28.90%,66,10.70%,108,17.60%,15,2.40%,248,40.30%,59.70%,48,7.80%,1,0.20%,247,40.20%,39.00%,615,$516.43 
02M408,Professional Performing Arts High School,M408,M,"$112,828.00 ","$286,437.00 ","$140,308.00 ","$146,129.00 ",39,7.00%,116,20.80%,114,20.40%,37,6.60%,252,45.20%,54.80%,79,14.20%,1,0.20%,195,34.90%,36.20%,558,$513.33 
02M114,East Side Middle School,M114,M,"$91,566.00 ","$229,629.00 ","$221,561.00 ","$102,392.00 ",63,14.00%,13,2.90%,53,11.80%,33,7.30%,289,64.10%,35.90%,75,16.60%,0,0.00%,73,16.20%,12.80%,451,$509.16 
26Q430,Francis Lewis High School,Q430,Q,"$8,113.83 ","$2,200,659.00 ","$14,455.57 ","$7,551.02 ",2540,56.50%,276,6.10%,958,21.30%,51,1.10%,667,14.80%,85.20%,653,14.50%,472,10.50%,3102,69.10%,58.30%,4492,$489.91 
03M479,Beacon High School,M479,M,"$225,366.00 ","$685,767.00 ","$380,077.00 ","$305,690.00 ",128,9.00%,202,14.20%,280,19.70%,147,10.30%,666,46.80%,53.20%,168,11.80%,1,0.10%,513,36.10%,29.80%,1423,$481.92 
15K261,P.S. 261 Philip Livingston,K261,K,$0.00 ,"$373,279.36 ","$309,775.86 ","$83,916.71 ",60,7.60%,165,20.80%,146,18.40%,44,5.50%,379,47.70%,52.30%,140,17.60%,34,4.30%,274,34.50%,34.50%,794,$470.13 
02M151,Yorkville Community School,M151,M,"$410,040.00 ","$228,259.00 ","$247,731.00 ","$390,568.00 ",32,6.60%,72,14.80%,114,23.50%,30,6.20%,238,49.00%,51.00%,89,18.30%,20,4.10%,184,37.90%,36.80%,486,$469.67 
03M291,West End Secondary School,M291,M,"$145,355.72 ","$202,598.71 ","$193,188.50 ","$154,765.93 ",31,7.20%,28,6.50%,82,19.00%,16,3.70%,275,63.70%,36.30%,93,21.50%,2,0.50%,76,17.60%,18.10%,432,$468.98 
04M012,Tag Young Scholars,M012,M,"$294,780.00 ","$269,628.00 ","$278,758.00 ","$285,650.00 ",248,41.30%,99,16.50%,90,15.00%,61,10.10%,103,17.10%,82.90%,29,4.80%,5,0.80%,205,34.10%,37.60%,601,$448.63 
01M361,The Children's Workshop School,M361,M,"$92,439.00 ","$134,233.00 ","$109,943.00 ","$116,729.00 ",31,9.70%,33,10.30%,127,39.70%,17,5.30%,112,35.00%,65.00%,75,23.40%,11,3.40%,154,48.10%,52.50%,320,$419.48 
28Q099,P.S. 099 Kew Gardens,Q099,Q,"$102,534.00 ","$317,388.00 ","$219,855.00 ","$97,533.00 ",184,23.60%,45,5.80%,302,38.70%,40,5.10%,210,26.90%,73.10%,161,20.60%,97,12.40%,481,61.60%,54.80%,781,$406.39 
31R023,P.S. 023 Richmondtown,R023,R,"$23,401.69 ","$217,180.53 ","$204,875.54 ","$12,304.99 ",47,8.60%,6,1.10%,83,15.20%,10,1.80%,399,73.20%,26.80%,155,28.40%,23,4.20%,189,34.70%,31.50%,545,$398.50 
15K146,"The Brooklyn New School, P.S. 146",K146,K,"$46,553.29 ","$274,238.41 ","$273,479.34 ","$196,404.98 ",32,4.60%,126,18.20%,158,22.80%,94,13.50%,284,40.90%,59.10%,202,29.10%,29,4.20%,232,33.40%,36.50%,694,$395.16 
15K032,P.S. 032 Samuel Mills Sprole,K032,K,"$96,680.90 ","$188,980.47 ","$199,004.94 ","$86,656.43 ",47,9.80%,102,21.30%,107,22.30%,26,5.40%,198,41.20%,58.80%,123,25.60%,20,4.20%,200,41.70%,42.20%,480,$393.71 
13K009,P.S. 009 Teunis G. Bergen,K009,K,"$102,247.00 ","$364,682.00 ","$246,517.00 ","$118,165.00 ",74,7.90%,389,41.30%,152,16.10%,39,4.10%,288,30.60%,69.40%,140,14.90%,20,2.10%,337,35.80%,36.80%,942,$387.14 
06M103,Dos Puentes Elementary School,M103,M,"$45,090.55 ","$158,215.06 ","$111,695.51 ","$46,519.55 ",1,0.20%,11,2.70%,316,76.70%,7,1.70%,77,18.70%,81.30%,96,23.30%,120,29.10%,269,65.30%,65.40%,412,$384.02 
02M217,P.S./I.S. 217 Roosevelt Island,M217,M,"$198,345.42 ","$236,036.84 ","$196,893.17 ","$237,487.09 ",179,29.00%,83,13.50%,88,14.30%,43,7.00%,224,36.30%,63.70%,84,13.60%,86,13.90%,204,33.10%,28.60%,617,$382.56 
02M412,N.Y.C. Lab School for Collaborative Studies,M412,M,"$87,039.01 ","$178,058.26 ","$132,334.14 ","$132,763.13 ",88,18.70%,17,3.60%,58,12.30%,42,8.90%,266,56.50%,43.50%,94,20.00%,3,0.60%,123,26.10%,29.20%,471,$378.04 
31R009,Naples Street Elementary School,R009,R,"$7,627.28 ","$119,210.55 ","$126,081.06 ",$756.77 ,21,6.40%,44,13.50%,90,27.60%,4,1.20%,167,51.20%,48.80%,92,28.20%,3,0.90%,121,37.10%,36.80%,326,$365.68 
20K185,P.S. 185 Walter Kassenbrock,K185,K,"$47,355.00 ","$211,787.00 ","$188,704.00 ","$23,083.00 ",45,7.10%,7,1.10%,135,21.30%,19,3.00%,428,67.50%,32.50%,107,16.90%,42,6.60%,273,43.10%,41.00%,634,$334.05 
01M364,Earth School,M364,M,"$121,777.00 ","$116,000.00 ","$106,689.00 ","$131,088.00 ",25,7.10%,38,10.90%,141,40.30%,28,8.00%,118,33.70%,66.30%,93,26.60%,21,6.00%,195,55.70%,56.80%,350,$331.43 
02M418,Millennium High School,M418,M,"$96,520.26 ","$224,501.26 ","$131,026.87 ","$93,474.39 ",320,47.00%,26,3.80%,75,11.00%,42,6.20%,218,32.00%,68.00%,84,12.30%,5,0.70%,336,49.30%,46.80%,681,$329.66 
26Q098,P.S. 098 The Douglaston School,Q098,Q,"$88,273.67 ","$92,419.80 ","$86,635.63 ","$94,057.84 ",79,28.10%,13,4.60%,41,14.60%,17,6.00%,131,46.60%,53.40%,52,18.50%,7,2.50%,57,20.30%,20.00%,281,$328.90 
02M177,Yorkville East Middle School,M177,M,"$39,816.70 ","$72,321.06 ","$64,661.87 ","$47,475.89 ",15,6.50%,20,8.70%,53,23.00%,9,3.90%,133,57.80%,42.20%,59,25.70%,3,1.30%,69,30.00%,26.40%,230,$314.44 
02M475,Stuyvesant High School,M475,M,"$576,941.00 ","$1,028,636.00 ","$496,612.00 ","$532,024.00 ",2425,73.10%,29,0.90%,100,3.00%,137,4.10%,625,18.80%,81.20%,17,0.50%,0,0.00%,1384,41.70%,38.80%,3316,$310.20 
27Q207,P.S. 207 Rockwood Park,Q207,Q,"$52,535.09 ","$212,555.28 ","$163,294.90 ","$49,620.38 ",30,4.30%,11,1.60%,134,19.40%,7,1.00%,508,73.60%,26.40%,137,19.90%,6,0.90%,203,29.40%,15.40%,690,$308.05 
31R001,P.S. 001 Tottenville,R001,R,"$19,147.00 ","$135,693.00 ","$121,890.00 ","$13,803.00 ",17,3.80%,4,0.90%,85,19.10%,1,0.20%,339,76.00%,24.00%,107,24.00%,21,4.70%,177,39.70%,34.40%,446,$304.24 
14K034,P.S. 034 Oliver H. Perry,K034,K,"$48,285.01 ","$142,440.98 ","$96,238.00 ","$94,488.00 ",11,2.30%,23,4.90%,86,18.30%,13,2.80%,338,71.80%,28.20%,61,13.00%,79,16.80%,125,26.50%,35.70%,471,$302.42 
04M497,Central Park East I,M497,M,"$8,259.05 ","$56,572.28 ","$47,806.00 ","$17,025.33 ",17,9.00%,28,14.80%,73,38.60%,20,10.60%,51,27.00%,73.00%,38,20.10%,9,4.80%,83,43.90%,54.50%,189,$299.32 
31R036,P.S. 036 J. C. Drumgoole,R036,R,"$47,781.47 ","$257,414.03 ","$219,722.21 ","$37,691.82 ",63,7.30%,2,0.20%,143,16.50%,13,1.50%,645,74.50%,25.50%,199,23.00%,32,3.70%,320,37.00%,27.80%,866,$297.24 
14K031,P.S. 031 Samuel F. Dupont,K031,K,"$22,860.27 ","$181,036.66 ","$133,109.92 ","$47,926.74 ",52,8.40%,31,5.00%,254,41.00%,13,2.10%,269,43.50%,56.50%,79,12.80%,40,6.50%,446,72.10%,63.50%,619,$292.47 
15K015,P.S. 015 Patrick F. Daly,K015,K,"$16,561.30 ","$141,565.47 ","$121,823.64 ","$19,741.83 ",6,1.20%,163,33.60%,215,44.30%,24,4.90%,77,15.90%,84.10%,153,31.50%,24,4.90%,346,71.30%,77.90%,485,$291.89 
30Q078,P.S./I.S. 78Q,Q078,Q,"$96,026.00 ","$214,080.00 ","$81,817.00 ","$132,263.00 ",177,24.00%,32,4.30%,186,25.20%,47,6.40%,295,40.00%,60.00%,85,11.50%,40,5.40%,171,23.20%,19.80%,737,$290.47 
31R062,The Kathleen Grimm School for Leadership and Sustainability,R062,R,"$55,565.66 ","$80,782.45 ","$137,638.90 ","$2,107.21 ",13,4.60%,3,1.10%,33,11.70%,4,1.40%,229,81.20%,18.80%,51,18.10%,4,1.40%,80,28.40%,22.30%,282,$286.46 
29Q360,P.S. 360,Q360,Q,"$13,541.36 ","$59,701.14 ","$33,362.69 ","$26,338.45 ",1,0.50%,196,93.80%,11,5.30%,1,0.50%,0,0.00%,100.00%,22,10.50%,0,0.00%,126,60.30%,43.20%,209,$285.65 
10X445,The Bronx High School of Science,X445,X,"$383,311.29 ","$849,395.12 ","$438,896.70 ","$410,498.42 ",1957,64.90%,79,2.60%,213,7.10%,95,3.10%,672,22.30%,77.70%,42,1.40%,1,0.00%,1266,42.00%,37.50%,3016,$281.63 
13K282,P.S. 282 Park Slope,K282,K,"$45,626.94 ","$182,379.95 ","$107,164.19 ","$75,215.26 ",22,3.40%,298,45.80%,162,24.90%,18,2.80%,150,23.10%,76.90%,117,18.00%,12,1.80%,286,44.00%,50.00%,650,$280.58 
31R030,P.S. 030 Westerleigh,R030,R,"$17,278.33 ","$227,451.13 ","$190,008.77 ","$37,442.36 ",86,10.40%,25,3.00%,201,24.30%,28,3.40%,486,58.80%,41.20%,198,24.00%,66,8.00%,316,38.30%,30.40%,826,$275.36 
05M517,Teachers College Community School,M517,M,"$31,829.84 ","$85,193.97 ","$63,248.37 ","$21,945.60 ",8,2.60%,118,37.90%,124,39.90%,18,5.80%,43,13.80%,86.20%,56,18.00%,5,1.60%,152,48.90%,60.30%,311,$273.94 
02M167,J.H.S. 167 Robert F. Wagner,M167,M,"$437,771.69 ","$374,570.21 ","$347,850.40 ","$464,497.50 ",251,18.20%,94,6.80%,226,16.40%,75,5.40%,733,53.20%,46.80%,238,17.30%,41,3.00%,419,30.40%,28.30%,1379,$271.62 
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,M485,M,"$746,725.89 ","$746,725.89 ","$741,105.29 ","$5,620.60 ",543,19.70%,274,9.90%,470,17.00%,231,8.40%,1242,45.00%,55.00%,95,3.40%,5,0.20%,780,28.30%,29.30%,2760,$270.55 
02M111,P.S. 111 Adolph S. Ochs,M111,M,"$34,067.03 ","$110,645.79 ","$42,138.15 ","$68,507.64 ",65,15.70%,56,13.60%,194,47.00%,17,4.10%,81,19.60%,80.40%,90,21.80%,41,9.90%,233,56.40%,57.50%,413,$267.91 
