,Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
362,363,Yum China Holdings,"$8,263 ",-0.058,$784 ,0.1,"$10,875 ","$24,892.30 ",-2,271000,-2,294
363,364,Targa Resources,"$8,260.30 ",-0.047,"($1,553.90)",-,"$15,875.70 ","$7,259.80 ",1,2372,1,366
364,365,Intercontinental Exchange,"$8,244 ",0.259,"$2,089 ",0.081,"$126,200 ","$62,843.70 ",94,8890,94,297
365,366,Andersons,"$8,208.40 ",0.005,$7.70 ,-0.579,"$4,272.10 ",$921.90 ,24,2294,24,454
366,367,Raymond James Financial,"$8,168 ",0.018,$818 ,-0.209,"$47,482 ","$16,877.90 ",29,14800,29,386
367,368,Thor Industries,"$8,167.90 ",0.039,$223 ,0.673,"$5,771.50 ","$7,460 ",36,22250,36,374
368,369,Thrivent Financial for Lutherans,"$8,152.70 ",-0.053,$637 ,-0.342,"$110,151.70 ",-,-1,3386,-1,-
369,370,Hershey,"$8,149.70 ",0.02,"$1,278.70 ",0.112,"$9,131.80 ","$32,765.30 ",28,16040,28,69
370,371,Casey's General Stores,"$8,112.30 ",-0.03,$263.80 ,0.294,"$3,943.90 ","$7,987.60 ",7,27218,7,256
371,372,W.R. Berkley,"$8,098.90 ",0.025,$530.70 ,-0.222,"$28,606.90 ","$13,364.20 ",30,7495,30,130
372,373,Activision Blizzard,"$8,086 ",0.246,"$2,197 ",0.462,"$23,109 ","$72,052.10 ",90,9500,90,399
373,374,Western & Southern Financial Group,"$8,057.90 ",0.017,$204.40 ,-0.165,"$57,595.40 ",-,27,2729,27,-
374,375,American Tower,"$8,041.50 ",0.061,"$1,690.60 ",-0.104,"$47,233.50 ","$106,234.50 ",39,5618,39,367
375,376,American Financial Group,"$7,909 ",-0.04,$732 ,-0.184,"$73,566 ","$9,858.20 ",7,7300,7,399
376,377,Darden Restaurants,"$7,806.90 ",-0.083,($52.40),-1.073,"$9,946.10 ","$18,506.60 ",-5,177895,-5,334
377,378,J.M. Smucker,"$7,801 ",-0.005,$779.50 ,0.515,"$16,970.40 ","$13,865.90 ",29,7300,29,164
378,379,Williams,"$7,719 ",-0.059,$211 ,-0.752,"$44,165 ","$28,777.60 ",8,4739,8,216
379,380,Intuit,"$7,679 ",0.132,"$1,826 ",0.173,"$10,931 ","$104,897.10 ",65,11950,65,55
380,381,Citizens Financial Group,"$7,676 ",-0.048,"$1,057 ",-0.41,"$183,349 ","$18,768.40 ",14,17584,14,143
381,382,PPL,"$7,607 ",-0.021,"$1,469 ",-0.159,"$48,116 ","$22,177.50 ",26,12318,26,240
382,383,NVR,"$7,566 ",0.019,$901.20 ,0.026,"$5,777.10 ","$17,318 ",34,6100,34,330
383,384,Westinghouse Air Brake Technologies,"$7,556.10 ",-0.079,$414.40 ,0.268,"$18,454.50 ","$14,953 ",4,27000,4,158
384,385,Foot Locker,"$7,548 ",-0.057,$323 ,-0.342,"$7,043 ","$5,809.40 ",12,33522,12,196
385,386,Cincinnati Financial,"$7,536.30 ",-0.049,"$1,216.40 ",-0.391,"$27,541.70 ","$16,601.60 ",14,5266,14,198
386,387,Weyerhaeuser,"$7,532 ",0.149,$797 ,-,"$16,311 ","$26,655.30 ",70,9372,70,396
387,388,Westlake Chemical,"$7,504 ",-0.076,$330 ,-0.216,"$13,835 ","$11,350.40 ",3,9220,3,399
388,389,Navistar International,"$7,503 ",-0.333,($347),-2.57,"$6,637 ","$4,390.50 ",-105,12100,-105,399
389,390,Magellan Health,"$7,501.50 ",0.048,$382.30 ,5.839,"$3,359.90 ","$2,421 ",42,9000,42,399
390,391,Booz Allen Hamilton Holding,"$7,463.80 ",0.113,$482.60 ,0.153,"$4,794 ","$11,089.50 ",59,27200,59,187
391,392,Autoliv,"$7,447.40 ",-0.129,$186.90 ,-0.595,"$8,156.80 ","$8,112.80 ",-23,64716,-23,380
392,393,S&P Global,"$7,442 ",0.111,"$2,339 ",0.102,"$12,537 ","$85,001.60 ",58,23000,58,129
393,394,Global Payments,"$7,423.60 ",0.511,$584.50 ,0.357,"$44,201.50 ","$59,484.30 ",159,24000,-,399
394,395,Motorola Solutions,"$7,414 ",-0.06,$949 ,0.093,"$10,876 ","$31,785.80 ",8,18000,8,212
