,Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
517,518,UFP Industries,"$5,154 ",0.167,$246.80 ,0.374,"$2,404.90 ","$4,683.30 ",88,12000,-,-
518,519,Robert Half International,"$5,109 ",-0.159,$306.30 ,-0.326,"$2,557.40 ","$8,831.70 ",-37,13000,-,-
519,520,Devon Energy,"$5,091 ",-0.309,"($2,680)",-,"$9,912 ","$14,707.20 ",-101,1400,-,-
520,521,GameStop,"$5,089.80 ",-0.213,($215.30),-,"$2,472.60 ","$13,275.20 ",-57,22000,-,-
521,522,International Flavors & Fragrances,"$5,084.20 ",-0.011,$363.20 ,-0.203,"$13,555.70 ","$34,741.50 ",18,13700,-,-
522,523,Resideo Technologies,"$5,071 ",0.017,$37 ,0.028,"$5,610 ","$4,043.70 ",25,14700,-,-
523,524,Watsco,"$5,054.90 ",0.06,$269.60 ,0.096,"$2,484.30 ","$10,068.20 ",42,5800,-,-
524,525,Amkor Technology,"$5,050.60 ",0.246,$338.10 ,1.797,"$5,022.30 ","$5,769.60 ",114,29050,-,-
525,526,Coca-Cola Consolidated,"$5,007.40 ",0.037,$172.50 ,14.164,"$3,222.50 ","$2,706.90 ",36,14900,-,-
526,527,Chemours,"$4,969 ",-0.101,$219 ,-,"$7,082 ","$4,610.60 ",-16,6500,-,-
527,528,Tapestry,"$4,961.40 ",-0.177,($652.10),-2.014,"$7,924.20 ","$11,449.70 ",-43,14850,-,-
528,529,UWM Holdings,"$4,938.60 ",2.863,"$3,382.50 ",7.15,"$11,493.50 ","$12,729 ",-,7500,-,-
529,530,Silgan Holdings,"$4,921.90 ",0.096,$308.70 ,0.593,"$6,511.60 ","$4,625.70 ",65,15610,-,-
530,531,Petco Health and Wellness,"$4,920.20 ",0.11,($26.50),-,"$6,075.70 ","$6,692.40 ",-,27081,-,-
531,532,Evergy,"$4,913.40 ",-0.046,$618.30 ,-0.077,"$27,114.80 ","$13,512.90 ",7,5133,-,-
532,533,Ingersoll Rand,"$4,910.20 ",1.003,($33.30),-1.209,"$16,058.60 ","$20,607.40 ",348,15900,-,-
533,534,Sealed Air,"$4,903.20 ",0.023,$502.90 ,0.912,"$6,083.80 ","$7,098.40 ",30,16500,-,-
534,535,Church & Dwight,"$4,895.80 ",0.123,$785.90 ,0.276,"$7,414.50 ","$21,408.40 ",76,5100,-,-
535,536,OneMain Holdings,"$4,894 ",0.031,$730 ,-0.146,"$22,471 ","$7,217.20 ",34,8300,-,-
536,537,CME Group,"$4,883.60 ",0.003,"$2,105.20 ",-0.005,"$124,659.60 ","$73,330 ",21,4370,-,-
537,538,Xylem,"$4,876 ",-0.071,$254 ,-0.367,"$8,750 ","$18,932.70 ",-8,16150,-,-
538,539,Vulcan Materials,"$4,856.80 ",-0.015,$584.50 ,-0.054,"$11,686.90 ","$22,387 ",12,8847,-,-
539,540,TravelCenters of America,"$4,846 ",-0.208,($13.90),-1.417,"$3,443.90 ",$395.30 ,-60,16374,-,-
540,541,Western Union,"$4,835 ",-0.086,$744.30 ,-0.297,"$9,496.30 ","$10,133.30 ",-13,11000,-,-
541,542,Hanover Insurance Group,"$4,827.30 ",-0.014,$358.70 ,-0.156,"$13,443.70 ","$4,709.80 ",12,4300,-,-
542,543,Hess,"$4,804 ",-0.262,"($3,093)",-,"$18,821 ","$21,722.40 ",-82,1621,-,-
543,544,Globe Life,"$4,737.90 ",0.046,$731.80 ,-0.038,"$29,046.70 ","$11,203.50 ",48,3261,-,-
544,545,Rush Enterprises,"$4,735.90 ",-0.185,$114.90 ,-0.189,"$2,985.40 ","$2,685.60 ",-53,6307,-,-
545,546,Martin Marietta Materials,"$4,729.90 ",-0.002,$721 ,0.178,"$10,580.80 ","$20,917.10 ",26,8700,-,-
546,547,American Axle & Manufacturing,"$4,710.80 ",-0.279,($561.30),-,"$5,916.30 ","$1,100.40 ",-87,20000,-,-
547,548,Windstream Holdings II,"$4,688.90 ",-0.083,-,-,"$9,421.10 ",-,-5,11945,-,-
548,549,NiSource,"$4,681.70 ",-0.101,($17.60),-1.046,"$22,040.50 ","$9,447.70 ",-16,7345,-,-
549,550,PPD,"$4,681.50 ",0.161,$153.70 ,2.214,"$6,293.80 ","$13,260.20 ",91,26000,-,-
550,551,Knight-Swift Transportation Holdings,"$4,673.90 ",-0.035,$410 ,0.326,"$8,468 ","$7,966.10 ",9,22800,-,-
551,552,SS&C Technologies Holdings,"$4,667.90 ",0.008,$625.20 ,0.426,"$15,923.60 ","$18,005.20 ",28,24600,-,-
552,553,Domtar,"$4,647 ",-0.11,($127),-2.512,"$4,856 ","$1,856.20 ",-21,6600,-,-
553,554,Encompass Health,"$4,644.40 ",0.009,$284.20 ,-0.208,"$6,445.90 ","$8,129.90 ",29,35536,-,-
554,555,FMC,"$4,642.10 ",-0.004,$551.50 ,0.155,"$10,186.40 ","$14,325 ",23,6400,-,-
555,556,Fortive,"$4,634.40 ",-0.367,"$1,613.30 ",1.183,"$16,051.50 ","$23,881.50 ",-134,17000,-,-
556,557,Cornerstone Building Brands,"$4,617.40 ",-0.056,($482.80),-,"$5,478.50 ","$1,757.40 ",-1,20230,-,-
557,558,Skechers U.S.A.,"$4,613.40 ",-0.12,$98.60 ,-0.716,"$5,812.40 ","$6,579.60 ",-27,8800,-,-
558,559,Ingles Markets,"$4,610.60 ",0.097,$178.60 ,1.189,"$1,899.30 ","$1,245.30 ",64,18765,-,-
559,560,Simon Property Group,"$4,607.50 ",-0.199,"$1,112.60 ",-0.471,"$34,786.80 ","$37,338.10 ",-63,2850,-,-
560,561,Welltower,"$4,606 ",-0.101,$978.80 ,-0.206,"$32,483.60 ","$29,897.10 ",-19,423,-,-
561,562,Monster Beverage,"$4,598.60 ",0.095,"$1,409.60 ",0.272,"$6,202.70 ","$48,108 ",62,3340,-,-
562,563,Mattel,"$4,583.70 ",0.018,$126.60 ,-,"$5,521.10 ","$6,935.50 ",30,32100,-,-
563,564,TreeHouse Foods,"$4,570.50 ",-0.072,$13.80 ,-,"$5,485.70 ","$2,921.20 ",-12,10900,-,-
564,565,Schneider National,"$4,552.80 ",-0.041,$211.70 ,0.44,"$3,516.20 ","$4,461 ",6,15225,-,-
565,566,Ametek,"$4,540 ",-0.12,$872.40 ,0.013,"$10,357.50 ","$29,480.10 ",-28,16500,-,-
566,567,PennyMac Financial Services,"$4,536 ",0.995,"$1,646.90 ",3.191,"$31,597.80 ","$4,630.40 ",-,6632,-,-
567,568,Broadridge Financial Solutions,"$4,529 ",0.038,$462.50 ,-0.041,"$4,889.80 ","$17,728.80 ",42,12000,-,-
568,569,Alliance Data Systems,"$4,521.40 ",-0.313,$213.70 ,-0.231,"$22,547.10 ","$5,570.30 ",-113,8000,-,-
569,570,ServiceNow,"$4,519.50 ",0.306,$118.50 ,-0.811,"$8,715.10 ","$98,071.60 ",133,13096,-,-
570,571,Kelly Services,"$4,516 ",-0.157,($72),-1.641,"$2,561.90 ",$875.40 ,-50,7100,-,-
571,572,Greif,"$4,515 ",-0.017,$108.80 ,-0.364,"$5,510.90 ","$2,771.70 ",12,16000,-,-
572,573,Yellow,"$4,513.70 ",-0.073,($53.50),-,"$2,185.80 ",$449.90 ,-16,30000,-,-
573,574,First Republic Bank,"$4,506.90 ",0.084,"$1,064.20 ",0.144,"$142,502.10 ","$29,390 ",53,5483,-,-
574,575,Perspecta,"$4,504 ",-,($676),-,"$5,405 ","$4,679.10 ",-,14000,-,-
575,576,Nexstar Media Group,"$4,501.30 ",0.481,$811.40 ,2.524,"$13,404.30 ","$6,092.50 ",199,11749,-,-
576,577,Meritage Homes,"$4,501.20 ",0.228,$423.50 ,0.696,"$3,864.40 ","$3,448.10 ",96,1570,-,-
577,578,Under Armour,"$4,474.70 ",-0.15,($549.20),-6.96,"$5,030.60 ","$9,161.90 ",-49,11800,-,-
578,579,Warner Music Group,"$4,463 ",-0.003,($475),-2.855,"$6,410 ","$17,657.70 ",19,5500,-,-
579,580,Levi Strauss,"$4,452.60 ",-0.227,($127.10),-1.322,"$5,641.20 ","$9,559.80 ",-85,14800,-,-
580,581,Zebra Technologies,"$4,448 ",-0.008,$504 ,-0.074,"$5,375 ","$25,941.30 ",15,8800,-,-
581,582,Juniper Networks,"$4,445.10 ",-,$257.80 ,-0.253,"$9,378.30 ","$8,285.10 ",19,9950,-,-
582,583,loanDepot,"$4,443.60 ",2.028,"$2,013.10 ",57.487,"$10,893.20 ","$6,089.10 ",-,11763,-,-
583,584,Prologis,"$4,438.70 ",0.333,"$1,481.80 ",-0.058,"$56,065 ","$78,412.90 ",143,1945,-,-
584,585,Dillard's,"$4,433.20 ",-0.301,($71.70),-1.645,"$3,092.50 ","$2,123.70 ",-117,24000,-,-
585,586,Syneos Health,"$4,415.80 ",-0.056,$192.80 ,0.469,"$8,063.30 ","$7,905.10 ",-9,24386,-,-
586,587,Lululemon Athletica,"$4,401.90 ",0.106,$588.90 ,-0.088,"$4,185.20 ","$39,985.10 ",-,25000,-,-
587,588,Flowers Foods,"$4,388 ",0.064,$152.30 ,-0.074,"$3,323 ","$5,038.50 ",43,9200,-,-
588,589,Edwards Lifesciences,"$4,386.30 ",0.009,$823.40 ,-0.213,"$7,237.10 ","$52,027.10 ",24,14900,-,-
589,590,Vertiv Holdings,"$4,370.60 ",-0.014,($183.60),-,"$5,073.80 ","$7,028.80 ",13,20972,-,-
590,591,Intuitive Surgical,"$4,358.40 ",-0.027,"$1,060.60 ",-0.231,"$11,168.90 ","$87,474.30 ",6,8081,-,-
591,592,Brunswick,"$4,347.50 ",-0.046,$372.70 ,-,"$3,770.60 ","$7,436.20 ",-2,14382,-,-
592,593,Covetrus,"$4,339 ",-,($19),-,"$3,496 ","$4,084.10 ",-,5466,-,-
593,594,Workday,"$4,318 ",0.19,($282.40),-,"$8,718.40 ","$60,368.50 ",82,12500,-,-
594,595,APA,"$4,308 ",-0.328,"($4,860)",-,"$12,746 ","$6,765.60 ",-130,2272,-,-
595,596,Hilton Worldwide Holdings,"$4,307 ",-0.544,($715),-1.812,"$16,755 ","$33,568.30 ",-258,141000,-,-
596,597,Insperity,"$4,287 ",-0.006,$138.20 ,-0.085,"$1,584.30 ","$3,199.90 ",18,3600,-,-
597,598,Leggett & Platt,"$4,280.20 ",-0.099,$247.60 ,-0.258,"$4,754 ","$6,070.90 ",-29,20400,-,-
598,599,Carlisle,"$4,245.20 ",-0.118,$320.10 ,-0.323,"$5,866.40 ","$8,670 ",-36,12500,-,-
599,600,JELD-WEN Holding,"$4,235.70 ",-0.013,$91.60 ,0.454,"$3,964.70 ","$2,770 ",18,23000,-,-
600,601,Keysight Technologies,"$4,221 ",-0.019,$627 ,0.01,"$7,218 ","$26,684.50 ",16,13900,-,-
601,602,Hubbell,"$4,186 ",-0.088,$351.20 ,-0.124,"$5,085.10 ","$10,151.30 ",-16,19100,-,-
602,603,KB Home,"$4,183.20 ",-0.081,$296.20 ,0.102,"$5,356.40 ","$4,268 ",-12,1776,-,-
603,604,Conduent,"$4,163 ",-0.068,($118),-,"$4,256 ","$1,412.90 ",-5,63000,-,-
604,605,Iron Mountain,"$4,147.30 ",-0.027,$342.70 ,0.282,"$14,149.30 ","$10,674.50 ",14,24000,-,-
605,606,Landstar System,"$4,136.40 ",0.011,$192.10 ,-0.156,"$1,653.80 ","$6,339.70 ",29,1320,-,-
606,607,Scotts Miracle-Gro,"$4,131.60 ",0.309,$387.40 ,-0.159,"$3,380.50 ","$13,645.60 ",146,6866,-,-
607,608,Equifax,"$4,127.50 ",0.177,$520.10 ,-,"$9,611.80 ","$22,174.50 ",84,11400,-,-
608,609,CF Industries Holdings,"$4,124.10 ",-0.102,$317 ,-0.357,"$12,022.80 ","$9,732.10 ",-22,3038,-,-
609,610,Domino's Pizza,"$4,117.40 ",0.138,$491.30 ,0.226,"$1,567.20 ","$14,270.40 ",69,10650,-,-
610,611,Weis Markets,"$4,112.60 ",0.161,$118.90 ,0.749,"$1,820.40 ","$1,520.30 ",75,24000,-,-
611,612,Gartner,"$4,099.40 ",-0.034,$266.70 ,0.143,"$7,316 ","$16,196.10 ",9,15600,-,-
612,613,SVB Financial Group,"$4,081.80 ",0.156,"$1,208.40 ",0.063,"$115,511 ","$26,602.60 ",75,4461,-,-
613,614,Harley-Davidson,"$4,054.40 ",-0.244,$1.30 ,-0.997,"$12,010.60 ","$6,147.90 ",-95,5150,-,-
614,615,CUNA Mutual Group,"$4,049.30 ",-0.018,$145.50 ,-0.338,"$28,490.90 ",-,17,3600,-,-
615,616,Mahwah Bergen Retail Group,"$4,044.70 ",-0.352,"($1,141.80)",-,"$2,334.10 ",-,-143,22000,-,-
616,617,Paychex,"$4,040.50 ",0.071,"$1,098.10 ",0.062,"$8,550.70 ","$35,349.10 ",45,15700,-,-
617,618,TriNet Group,"$4,034 ",0.046,$272 ,0.283,"$3,043 ","$5,144.60 ",39,2700,-,-
618,619,Old Dominion Freight Line,"$4,015.10 ",-0.023,$672.70 ,0.093,"$4,369.40 ","$28,112.90 ",15,19779,-,-
619,620,Amerco,"$3,978.90 ",0.056,$442 ,0.192,"$13,438 ","$12,011.70 ",43,22200,-,-
620,621,Spectrum Brands Holdings,"$3,964.20 ",-0.042,$97.80 ,-0.802,"$5,107.30 ","$3,622.90 ",8,12100,-,-
621,622,ASGN,"$3,950.60 ",0.007,$200.30 ,0.147,"$3,278 ","$5,058.30 ",30,4200,-,-
622,623,Snap-on,"$3,942.20 ",-0.031,$627 ,-0.096,"$6,557.30 ","$12,561 ",14,12300,-,-
623,624,Pool,"$3,936.60 ",0.23,$366.70 ,0.402,"$1,739.70 ","$13,863.50 ",123,4750,-,-
624,625,Parsons,"$3,918.90 ",-0.009,$98.50 ,-0.182,"$3,937.70 ","$4,139.50 ",23,15500,-,-
625,626,Genesis Healthcare,"$3,906.20 ",-0.144,($59),-5.033,"$4,062.20 ",$47.30 ,-37,44000,-,-
626,627,Digital Realty Trust,"$3,903.60 ",0.216,$356.40 ,-0.385,"$36,076.30 ","$39,593.10 ",119,2878,-,-
627,628,Diebold Nixdorf,"$3,902.30 ",-0.115,($269.10),-,"$3,657.40 ","$1,104.70 ",-21,22000,-,-
628,629,MDC Holdings,"$3,901.20 ",0.185,$367.60 ,0.542,"$3,864.90 ","$4,160.30 ",104,1773,-,-
629,630,EnLink Midstream,"$3,893.80 ",-0.357,($421.50),-,"$8,550.90 ","$2,102.30 ",-147,1069,-,-
630,631,NortonLifeLock,"$3,858 ",-0.185,"$3,887 ",124.387,"$7,735 ","$12,371.20 ",-58,3600,-,-
631,632,CNO Financial Group,"$3,821.10 ",-0.048,$301.80 ,-0.263,"$35,339.90 ","$3,245.40 ",11,3400,-,-
632,633,Stifel Financial,"$3,817.80 ",0.086,$503.50 ,0.123,"$26,604.30 ","$6,724.60 ",57,8500,-,-
633,634,Ventas,"$3,795.40 ",-0.02,$439.10 ,0.014,"$23,929.40 ","$19,984.30 ",21,448,-,-
634,635,Lamb Weston Holdings,"$3,792.40 ",0.01,$365.90 ,-0.235,"$4,662.30 ","$11,339.60 ",30,7700,-,-
635,636,American National Group,"$3,792.40 ",-0.068,$467.50 ,-0.246,"$29,467.80 ","$2,900.30 ",-,4600,-,-
636,637,Autodesk,"$3,790.40 ",0.158,"$1,208.20 ",4.633,"$7,279.80 ","$60,860 ",100,11500,-,-
637,638,Mercury General,"$3,784.50 ",-0.047,$374.60 ,0.17,"$6,328.20 ","$3,367.10 ",8,4300,-,-
638,639,PerkinElmer,"$3,782.70 ",0.312,$727.90 ,2.199,"$7,960.30 ","$14,376.40 ",170,14000,-,-
639,640,American Water Works,"$3,777 ",0.046,$709 ,0.142,"$24,766 ","$27,205.60 ",42,7000,-,-
640,641,Hologic,"$3,776.40 ",0.121,"$1,115.20 ",-,"$7,195.80 ","$19,164.90 ",77,5814,-,-
641,642,American Eagle Outfitters,"$3,759.10 ",-0.127,($209.30),-2.094,"$3,434.80 ","$4,874.30 ",-26,21750,-,-
642,643,Flowserve,"$3,728.10 ",-0.054,$116.30 ,-0.513,"$5,314.70 ","$5,056 ",7,16000,-,-
643,644,Navient,"$3,728 ",-0.326,$412 ,-0.31,"$87,412 ","$2,629.80 ",-134,6485,-,-
644,645,Steelcase,"$3,723.70 ",0.081,$199.70 ,0.585,"$2,565.40 ","$1,653.50 ",61,13350,-,-
645,646,Compass,"$3,720.80 ",0.559,($270.20),-,"$1,365.10 ",-,-,2702,-,-
646,647,Twitter,"$3,716.30 ",0.074,"($1,135.60)",-1.775,"$13,379.10 ","$50,786.40 ",57,5500,-,-
647,648,Triple-S Management,"$3,702.40 ",0.097,$67.20 ,-0.277,"$3,088.40 ",$616.40 ,68,3911,-,-
648,649,Penn Mutual Life Insurance,"$3,700.20 ",-0.001,$287 ,-0.275,"$40,003.50 ",-,18,3162,-,-
649,650,Brink's,"$3,690.90 ",0.002,$16 ,-0.448,"$5,135.60 ","$3,939.50 ",19,75100,-,-
650,651,Synopsys,"$3,685.30 ",0.097,$664.30 ,0.248,"$8,030.10 ","$37,755 ",72,15036,-,-
651,652,Tempur Sealy International,"$3,676.90 ",0.184,$348.80 ,0.841,"$3,308.60 ","$7,376.60 ",111,9000,-,-
652,653,Lennox International,"$3,634.10 ",-0.045,$356.30 ,-0.128,"$2,032.50 ","$11,757.40 ",7,10300,-,-
653,654,Las Vegas Sands,"$3,612 ",-0.737,"($1,685)",-1.625,"$20,807 ","$46,412.40 ",-419,46000,-,-
654,655,ScanSource,"$3,609.20 ",-0.068,($192.70),-4.345,"$1,692.10 ",$762.30 ,-1,2200,-,-
655,656,APi Group,"$3,587 ",-,($153),-,"$4,065 ","$4,149.50 ",-,13000,-,-
656,657,Pinnacle West Capital,"$3,587 ",0.033,$550.60 ,0.023,"$20,020.40 ","$9,167.50 ",44,6026,-,-
657,658,Sentry Insurance Group,"$3,585.30 ",-0.026,$201.80 ,-0.378,"$21,631.50 ",-,12,4150,-,-
658,659,Penn National Gaming,"$3,578.70 ",-0.325,($669.50),-16.251,"$14,667.30 ","$16,406 ",-132,18321,-,-
659,660,Darling Ingredients,"$3,571.90 ",0.062,$296.80 ,-0.05,"$5,613.30 ","$12,004.70 ",60,10000,-,-
660,661,Alaska Air Group,"$3,566 ",-0.594,"($1,324)",-2.722,"$14,046 ","$8,608.90 ",-301,20677,-,-
661,662,Sanderson Farms,"$3,564.30 ",0.036,$28.30 ,-0.469,"$1,849 ","$3,478.60 ",45,17445,-,-
662,663,Granite Construction,"$3,562.50 ",0.034,($145.10),-,"$2,380 ","$1,843 ",49,4100,-,-
663,664,Pitney Bowes,"$3,554.10 ",0.022,($181.50),-1.933,"$5,220.10 ","$1,431 ",35,11500,-,-
664,665,Brookdale Senior Living,"$3,540.20 ",-0.127,$82 ,-,"$6,901.80 ","$1,109.90 ",-27,38250,-,-
665,666,Ciena,"$3,532.20 ",-0.011,$361.30 ,0.426,"$4,180.90 ","$8,481.80 ",18,7032,-,-
666,667,Medical Mutual of Ohio,"$3,524.20 ",0.006,$100.40 ,0.2,"$2,611.60 ",-,28,2873,-,-
667,668,Sally Beauty Holdings,"$3,514.30 ",-0.093,$113.20 ,-0.583,"$2,895.10 ","$2,271 ",-15,30000,-,-
668,669,Timken,"$3,513.20 ",-0.073,$284.50 ,-0.214,"$5,041.60 ","$6,165.90 ",-8,17430,-,-
669,670,Service Corp. International,"$3,511.50 ",0.087,$515.90 ,0.396,"$14,515.40 ","$8,646.40 ",72,20319,-,-
670,671,Hub Group,"$3,495.60 ",-0.047,$73.60 ,-0.314,"$2,105.40 ","$2,316.70 ",1,5000,-,-
671,672,Antero Resources,"$3,491.70 ",-0.208,"($1,267.90)",-,"$13,150.80 ","$3,072.10 ",-64,522,-,-
672,673,Primoris Services,"$3,491.50 ",0.124,$105 ,0.275,"$1,969.60 ","$1,779.90 ",89,10414,-,-
673,674,Endeavor Group Holdings,"$3,478.70 ",-0.239,($654.90),-,"$9,633.60 ",-,-,6400,-,-
674,675,Caesars Entertainment,"$3,474 ",0.374,"($1,757)",-22.691,"$36,385 ","$18,213.90 ",193,21000,-,-
675,676,Ryerson Holding,"$3,466.60 ",-0.23,($65.80),-1.799,"$1,802.10 ",$649.50 ,-82,3900,-,-
676,677,Maximus,"$3,461.50 ",0.199,$214.50 ,-0.109,"$2,024.70 ","$5,471.70 ",131,34300,-,-
677,678,Urban Outfitters,"$3,449.70 ",-0.134,$1.20 ,-0.993,"$3,546.30 ","$3,637.80 ",-34,14250,-,-
678,679,Cboe Global Markets,"$3,427.10 ",0.373,$468.20 ,0.249,"$6,516.50 ","$10,580.60 ",193,1010,-,-
679,680,Alliant Energy,"$3,416 ",-0.064,$614 ,0.102,"$17,710 ","$13,533.60 ",-5,3375,-,-
680,681,ARKO,"$3,409.40 ",-0.06,$13.20 ,-,"$2,739.80 ","$1,236.80 ",-,10380,-,-
681,682,Palo Alto Networks,"$3,408.40 ",0.175,($267),-,"$9,065.40 ","$31,318 ",122,8014,-,-
682,683,Gannett,"$3,405.70 ",0.823,($670.50),-,"$3,108.90 ",$748 ,-,20800,-,-
683,684,Spirit AeroSystems Holdings,"$3,404.80 ",-0.567,($870.30),-2.642,"$8,383.90 ","$5,129.70 ",-278,14500,-,-
684,685,Plexus,"$3,390.40 ",0.071,$117.50 ,0.082,"$2,289.80 ","$2,646.70 ",65,19500,-,-
685,686,First Horizon,"$3,390 ",0.488,$845 ,0.917,"$84,209 ","$9,362.60 ",241,8358,-,-
686,687,Toro,"$3,378.80 ",0.077,$329.70 ,0.203,"$2,853.20 ","$11,099.90 ",69,10385,-,-
687,688,Airbnb,"$3,378.20 ",-0.297,"($4,584.70)",-,"$10,491.50 ","$114,349.20 ",-,5597,-,-
688,689,Brown-Forman,"$3,363 ",0.012,$827 ,-0.01,"$5,766 ","$32,119.30 ",41,4800,-,-
689,690,Skyworks Solutions,"$3,355.70 ",-0.006,$814.80 ,-0.045,"$5,106.70 ","$30,290.40 ",24,10000,-,-
690,691,Dentsply Sirona,"$3,342 ",-0.171,($83),-1.316,"$9,342 ","$13,977.50 ",-49,15000,-,-
691,692,Zillow Group,"$3,339.80 ",0.218,($162.10),-,"$7,486.60 ","$31,310.90 ",140,5504,-,-
692,693,Super Micro Computer,"$3,339.30 ",-0.046,$84.30 ,0.172,"$1,918.60 ","$1,975.50 ",4,3987,-,-
693,694,PriceSmart,"$3,329.20 ",0.033,$78.10 ,0.067,"$1,656.80 ","$2,973.90 ",50,9500,-,-
694,695,Puget Energy,"$3,326.50 ",-0.022,$182.70 ,-0.133,"$15,043 ",-,15,3150,-,-
695,696,Acuity Brands,"$3,326.30 ",-0.094,$248.30 ,-0.248,"$3,491.70 ","$5,891.40 ",-25,11500,-,-
696,697,GoDaddy,"$3,316.70 ",0.11,($495.10),-4.614,"$6,432.90 ","$13,201.30 ",90,6621,-,-
697,698,Southwest Gas Holdings,"$3,298.90 ",0.057,$232.30 ,0.086,"$8,735.90 ","$3,935.90 ",59,11149,-,-
698,699,Elanco Animal Health,"$3,273.30 ",0.066,($560.10),-9.249,"$17,692.70 ","$13,924 ",69,10200,-,-
699,700,Tri Pointe Homes,"$3,260.40 ",0.058,$282.20 ,0.362,"$4,022 ","$2,430.30 ",66,1163,-,-
700,701,Applied Industrial Technologies,"$3,245.70 ",-0.065,$24 ,-0.833,"$2,283.60 ","$3,540.30 ",-1,6200,-,-
701,702,Avient,"$3,242.10 ",-0.033,$131.60 ,-0.776,"$4,870.50 ","$4,315.50 ",22,8400,-,-
702,703,GMS,"$3,241.30 ",0.04,$23.40 ,-0.582,"$2,288.80 ","$1,788.80 ",55,5611,-,-
703,704,Virtu Financial,"$3,239.30 ",1.117,$649.20 ,-,"$9,965.80 ","$5,974.40 ",-,976,-,-
704,705,Qorvo,"$3,239.10 ",0.048,$334.30 ,1.511,"$6,560.70 ","$20,693.10 ",60,7900,-,-
705,706,Illumina,"$3,239 ",-0.086,$656 ,-0.345,"$7,585 ","$56,034.40 ",-19,8575,-,-
706,707,Citrix Systems,"$3,236.70 ",0.075,$504.40 ,-0.26,"$4,890.30 ","$17,259.20 ",72,9000,-,-
707,708,Atlas Air Worldwide Holdings,"$3,211.10 ",0.172,$360.30 ,-,"$6,029.20 ","$1,740.50 ",125,4061,-,-
708,709,Acadia Healthcare,"$3,209.70 ",0.033,($672.10),-7.171,"$6,499.40 ","$5,109 ",51,35400,-,-
709,710,Dycom Industries,"$3,199.20 ",-0.042,$34.30 ,-0.4,"$1,944.20 ","$2,842.70 ",15,14276,-,-
710,711,Akamai Technologies,"$3,198.10 ",0.105,$557.10 ,0.165,"$7,764.10 ","$16,632.10 ",95,8368,-,-
711,712,MSC Industrial Direct,"$3,192.40 ",-0.051,$251.10 ,-0.131,"$2,382.40 ","$5,033.90 ",9,6315,-,-
712,713,PRA Health Sciences,"$3,183.40 ",0.038,$197 ,-0.189,"$4,178.50 ","$9,896.50 ",56,18100,-,-
713,714,Bloomin' Brands,"$3,170.60 ",-0.234,($158.70),-2.216,"$3,362.10 ","$2,403.50 ",-86,77000,-,-
714,715,Varian Medical Systems,"$3,168.20 ",-0.018,$269.20 ,-0.078,"$4,462.20 ","$16,212.30 ",28,10613,-,-
715,716,Xilinx,"$3,162.70 ",0.034,$792.70 ,-0.109,"$4,693.30 ","$30,450.50 ",56,4891,-,-
716,717,Century Communities,"$3,161.20 ",0.247,$206.20 ,0.824,"$2,845.10 ","$2,033.30 ",150,1403,-,-
717,718,Advantage Solutions,"$3,155.70 ",-0.166,($162.40),-,"$5,777.50 ","$3,760.90 ",-,40000,-,-
718,719,CIT Group,"$3,150.40 ",-0.044,($615.30),-2.161,"$58,106.60 ","$5,084.40 ",13,4306,-,-
719,720,Trimble,"$3,147.70 ",-0.036,$389.90 ,-0.242,"$6,876.90 ","$19,551.90 ",18,11402,-,-
720,721,Clean Harbors,"$3,144.10 ",-0.079,$134.80 ,0.38,"$4,131.50 ","$4,606.20 ",-12,13500,-,-
721,722,Grocery Outlet Holding,"$3,134.60 ",0.225,$106.70 ,5.921,"$2,485.60 ","$3,513.80 ",143,860,-,-
722,723,Albemarle,"$3,128.90 ",-0.128,$375.80 ,-0.295,"$10,450.90 ","$17,053.70 ",-40,5900,-,-
723,724,Abercrombie & Fitch,"$3,125.40 ",-0.137,($114),-3.897,"$3,314.90 ","$2,131.10 ",-46,20550,-,-
724,725,Par Pacific Holdings,"$3,124.90 ",-0.421,($409.10),-11.024,"$2,133.90 ",$843.70 ,-209,1403,-,-
725,726,Teradyne,"$3,121.50 ",0.36,$784.10 ,0.677,"$3,652.30 ","$20,267.60 ",195,5500,-,-
726,727,BlueLinx Holdings,"$3,097.30 ",0.174,$80.90 ,-,"$1,048.10 ",$371.10 ,125,2100,-,-
727,728,Catalent,"$3,094.30 ",0.229,$220.70 ,0.606,"$7,776.50 ","$17,926.60 ",141,13900,-,-
728,729,Comerica,"$3,094 ",-0.189,$474 ,-0.604,"$88,129 ","$10,007.10 ",-70,7681,-,-
729,730,Take-Two Interactive Software,"$3,089 ",0.158,$404.50 ,0.212,"$4,948.80 ","$20,351.90 ",115,5800,-,-
730,731,EnerSys,"$3,087.90 ",0.1,$137.10 ,-0.144,"$3,301.70 ","$3,876 ",93,11400,-,-
731,732,Teledyne Technologies,"$3,086.20 ",-0.024,$401.90 ,-0.001,"$5,084.80 ","$15,314.30 ",19,10670,-,-
732,733,Marathon Oil,"$3,086 ",-0.405,"($1,451)",-4.023,"$17,956 ","$8,427.30 ",-199,1672,-,-
733,734,Mettler-Toledo International,"$3,085.20 ",0.025,$602.70 ,0.074,"$2,814.50 ","$26,951.70 ",46,15700,-,-
