player_id,game_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
8478445,137293397506,136,81775,41,19,171,22.0,4,8,44,228,548,70.0,103.0,0,0,43.0,5,70988,36,10751
8478447,8076083677,4,2727,1,1,8,9.0,0,0,2,0,0,2.0,2.0,0,0,2.0,0,2580,0,147
8478449,121141232995,1500,53096,14,19,120,73.0,3,11,16,172,345,23.0,34.0,2,0,28.0,3,44820,1204,7072
8478451,143350458227,1562,93582,16,5,99,59.0,1,1,33,0,0,44.0,84.0,0,0,106.0,-4,82510,7937,3135
8478452,86817890045,946,36456,5,4,38,33.0,0,1,10,0,0,8.0,26.0,0,0,46.0,-1,36101,114,241
8478455,131236336421,1690,45797,5,6,124,145.0,0,0,39,3,9,20.0,21.0,0,0,19.0,-5,45360,159,278
8478458,143350458511,3692,63470,17,12,117,58.0,1,1,12,70,148,24.0,38.0,0,0,21.0,4,57884,2,5584
8478460,127198294744,1827,90665,21,20,187,36.0,5,8,10,0,0,32.0,47.0,1,0,58.0,9,72864,7487,10314
8478462,56532579932,1512,19201,5,5,42,39.0,1,0,8,93,193,10.0,6.0,0,0,7.0,3,18128,910,163
8478463,137293397506,136,70421,21,18,132,86.0,3,4,15,9,13,29.0,51.0,1,0,36.0,-11,60542,2630,7249
8478466,16152165472,192,6768,1,1,17,4.0,1,0,0,0,0,1.0,0.0,0,0,3.0,-2,5965,0,803
8478468,38361397209,114,17582,1,1,20,32.0,0,0,29,0,0,3.0,6.0,0,0,23.0,5,15555,2022,5
8478469,143350459353,639,110776,33,6,186,79.0,0,11,42,0,0,42.0,87.0,0,0,85.0,-18,95861,1038,13877
8478472,74703752708,518,25578,3,4,35,47.0,0,0,16,4,14,17.0,12.0,0,1,10.0,-2,23674,1718,186
8478474,133255355779,3498,53783,10,15,109,201.0,0,0,33,24,47,28.0,22.0,1,0,29.0,0,48076,5606,101
8478476,18171182543,477,7972,0,1,10,14.0,0,0,2,0,0,1.0,4.0,0,0,10.0,-1,7447,444,81
8478477,76722788393,532,24590,3,3,43,36.0,0,0,10,187,356,6.0,4.0,0,0,9.0,-9,22014,2430,146
8478483,119122213218,590,76301,51,16,154,24.0,6,18,16,7,26,64.0,71.0,0,1,37.0,6,57111,7784,11406
8478485,8076081011,24,2023,2,0,1,2.0,0,0,0,1,1,1.0,1.0,0,0,1.0,1,2023,0,0
8478488,62589635457,279,16312,3,3,27,71.0,0,0,10,12,31,8.0,6.0,0,0,11.0,-7,16116,34,162
8478491,121141233631,1440,58096,9,2,58,34.0,0,0,12,0,0,6.0,31.0,0,0,57.0,-9,54229,3681,186
8478493,125179274762,1860,58468,21,8,102,93.0,1,0,22,367,795,19.0,18.0,0,1,43.0,7,50781,7411,276
8478495,129217316003,1600,49865,9,20,132,63.0,7,5,13,0,0,26.0,25.0,0,0,18.0,5,42586,8,7271
8478498,131236336159,390,62598,16,19,161,35.0,7,3,14,9,26,26.0,21.0,0,0,15.0,-1,52586,27,9985
8478500,139312417505,276,102849,23,13,150,84.0,7,9,24,0,0,16.0,67.0,0,1,111.0,11,78874,11370,12605
8478502,42399430776,336,19789,2,1,12,74.0,0,0,38,0,0,2.0,4.0,0,0,33.0,-8,18122,1549,118
8478506,12114123551,174,3916,0,0,3,5.0,0,0,2,0,0,0.0,3.0,0,0,0.0,-1,3694,165,57
8478507,113065147152,280,68015,20,6,61,72.0,1,3,20,0,0,37.0,42.0,0,0,77.0,17,58676,6814,2525
8478508,42399434977,378,12266,4,2,25,46.0,0,0,9,3,4,7.0,3.0,0,0,9.0,1,12239,0,27
8478512,16152160824,160,4890,1,2,9,1.0,1,0,0,2,6,6.0,2.0,0,0,2.0,1,4305,0,585
8478519,137293398237,952,75321,28,16,113,89.0,1,4,30,434,914,53.0,24.0,1,1,47.0,28,59941,11486,3894
8478542,90855926826,301,30473,4,6,75,24.0,1,0,14,120,257,14.0,13.0,0,0,15.0,-8,27177,2032,1264
8478550,139312418986,207,85300,63,32,209,25.0,7,17,20,1,2,56.0,82.0,0,0,18.0,36,69763,83,15454
8478567,66627672735,957,31627,4,1,51,24.0,1,0,12,0,0,7.0,14.0,0,0,28.0,-9,29861,1,1765
8478569,133255356877,858,63227,7,20,108,121.0,0,0,21,381,794,32.0,21.0,1,0,103.0,2,52850,10050,327
8478585,137293394746,1360,59354,19,10,102,12.0,1,3,10,383,732,34.0,26.0,1,1,34.0,9,49173,6804,3377
8478831,64608665040,928,26845,4,6,57,19.0,3,2,8,52,129,6.0,9.0,0,0,22.0,2,23091,38,3716
8478833,44418448048,198,11389,1,0,18,51.0,0,0,7,62,118,1.0,2.0,0,0,11.0,-4,10946,378,65
8478838,14133145722,56,3369,0,1,7,8.0,0,0,0,1,5,2.0,2.0,0,0,3.0,0,3356,0,13
8478839,18171187263,117,6614,2,2,15,1.0,0,1,0,6,17,6.0,3.0,0,0,3.0,2,6445,0,169
8478841,12114125426,6,5035,0,0,2,3.0,0,0,4,0,0,2.0,6.0,0,0,4.0,-2,4727,308,0
8478843,88836901275,548,31655,8,4,50,35.0,1,0,14,65,163,26.0,17.0,0,1,16.0,-9,28769,522,2364
8478844,40380409021,80,12516,2,1,15,4.0,0,0,6,78,140,5.0,4.0,0,0,3.0,-5,11733,709,74
