activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300FNXYY540N23N64,14454,MA,25023,25023508200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,685000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,237,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,1,2,1,2,1,10,,,,6305,6.33,136200,119,1871,1961,40
2024,549300FNXYY540N23N64,14454,MA,25021,25021417601,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,1,1,1,2,2,1,415000.0,NA,5.5,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,3,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,5249,51.29,136200,58,1074,1465,0
2024,549300FNXYY540N23N64,14454,MA,25021,25021443104,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,1,1,2,2,2,225000.0,34.77,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,655000,1,1,3,5,1,NA,78,49,9,10,1,14,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,6,,,,,6,,,,4763,14.95,136200,106,1529,1773,42
2024,549300HRLROF7PLJ6735,14454,MA,25025,25025091700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,4,0,2,1,1,1,2,2,1,615000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,NA,1,3,3,5,3,NA,NA,NA,9,9,2,,,,,5,,,,,3,4,2,26,,,,8,,,,,3,4,1,5,3,4,35-44,9999,No,NA,2,1,6,,,,,10,,,,3203,93.51,136200,49,405,1110,0
2024,549300HRLROF7PLJ6735,14454,MA,25021,25021403501,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,71,2,1,1,1,2,2,1,505000.0,62.500000000,6.750,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,805000,1,3,3,5,2,NA,NA,NA,9,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,4,5,3,4,8888,9999,NA,NA,2,1,6,,,,,10,,,,2851,25.08,136200,116,540,649,54
2024,549300HRLROF7PLJ6735,14454,MA,25025,25025060501,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Male,1,71,2,1,1,1,2,2,1,445000.0,50.000000000,6.750,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,895000,1,3,3,5,1,NA,NA,NA,9,10,2,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,1,5,3,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,4733,11.96,136200,123,1142,1805,0
2024,549300IBT3SCF2K09D58,14454,MA,25025,25025160602,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,2,1,1,1,2,2,1,7815000.0,63.812,5.760000,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,1,1,2,12255000,1,3,3,5,25-49,0,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,1,1,6,,,,,10,,,,5493,73.73,136200,58,813,1231,0
2024,549300IBT3SCF2K09D58,14454,MA,25025,25025010404,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,2,1,1,1,2,2,1,3.4375E7,66.748,5.320000,NA,3,NA,NA,NA,NA,NA,84,NA,NA,2,1,1,2,51505000,1,3,3,5,100-149,0,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,1,1,6,,,,,10,,,,5747,42.74,136200,65,164,223,0
2024,549300IBT3SCF2K09D58,14454,MA,25025,25025010205,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,2,1,1,1,2,2,1,1.9675E7,63.465,5.320000,NA,3,NA,NA,NA,NA,NA,84,NA,NA,2,1,1,2,31005000,1,3,3,5,50-99,0,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,1,1,6,,,,,10,,,,4906,52.24,136200,148,108,60,58
2024,549300INFJ8TYNZ1G568,14454,MA,25025,25025110105,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,6,0,2,1,1,1,2,2,2,505000.0,NA,5.55,NA,2,3848,NA,420,,,360,NA,120,2,2,2,2,715000,1,1,3,5,1,NA,155,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,25-34,65-74,No,Yes,3,3,6,,,,,10,,,,2120,41.84,136200,119,599,888,79
