as_of_year,respondent_id,agency_name,agency_abbr,agency_code,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,preapproval_name,preapproval,action_taken_name,action_taken,msamd_name,msamd,state_name,state_abbr,state_code,county_name,county_code,census_tract_number,applicant_ethnicity_name,applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_race_name_2,applicant_race_2,applicant_race_name_3,applicant_race_3,applicant_race_name_4,applicant_race_4,applicant_race_name_5,applicant_race_5,co_applicant_race_name_1,co_applicant_race_1,co_applicant_race_name_2,co_applicant_race_2,co_applicant_race_name_3,co_applicant_race_3,co_applicant_race_name_4,co_applicant_race_4,co_applicant_race_name_5,co_applicant_race_5,applicant_sex_name,applicant_sex,co_applicant_sex_name,co_applicant_sex,applicant_income_000s,purchaser_type_name,purchaser_type,denial_reason_name_1,denial_reason_1,denial_reason_name_2,denial_reason_2,denial_reason_name_3,denial_reason_3,rate_spread,hoepa_status_name,hoepa_status,lien_status_name,lien_status,edit_status_name,edit_status,sequence_number,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,application_date_indicator
2017,67746,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,102,Not applicable,3,Loan originated,1,Springfield - MA,44140,Massachusetts,MA,25,Hampden County,13,8005,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,52,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3410,73.55000305,66600,62.70000076,663,1201,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,129,Not applicable,3,Loan originated,1,"Providence, Warwick - RI, MA",39300,Massachusetts,MA,25,Bristol County,5,6501.01,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,62,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5842,6.829999924,74500,100.9000015,1802,2087,
2017,1635900004,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,325,Preapproval was not requested,2,Loan originated,1,"Providence, Warwick - RI, MA",39300,Massachusetts,MA,25,Bristol County,5,6304,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,132,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4971,6.71999979,74500,145.8999939,1427,1527,
2017,24131,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,378,Not applicable,3,Loan originated,1,"Cambridge, Newton, Framingham - MA",15764,Massachusetts,MA,25,Middlesex County,17,3231,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,Native Hawaiian or Other Pacific Islander,4,,,,,,,,,Male,1,Female,2,186,"Commercial bank, savings bank or savings association",6,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6957,8.350000381,104800,153.1799927,2319,2486,
2017,57-1175755,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,287,Not applicable,3,Loan originated,1,"Cambridge, Newton, Framingham - MA",15764,Massachusetts,MA,25,Essex County,9,2701,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,153,"Commercial bank, savings bank or savings association",6,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6081,2.75999999,104800,116.1900024,1860,1980,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,340,Not applicable,3,Loan originated,1,"Worcester - MA, CT",49340,Massachusetts,MA,25,Worcester County,27,7423,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,141,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4158,18.11000061,84000,140.5800018,1010,1316,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,550,Not applicable,3,Loan originated,1,"Cambridge, Newton, Framingham - MA",15764,Massachusetts,MA,25,Essex County,9,2544.02,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,250,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,7170,28.72999954,104800,164.3600006,2048,2049,
2017,76-0503625,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,388,Not applicable,3,Loan originated,1,"Cambridge, Newton, Framingham - MA",15764,Massachusetts,MA,25,Middlesex County,17,3745,Hispanic or Latino,1,Hispanic or Latino,1,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,81,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4799,27.87999916,104800,139.7200012,1218,1554,
2017,75-3170028,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,422,Not applicable,3,Loan originated,1,"Cambridge, Newton, Framingham - MA",15764,Massachusetts,MA,25,Middlesex County,17,3363,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,139,Ginnie Mae (GNMA),2,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6677,10.75,104800,113.1699982,2099,2456,
2017,90213,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,266,Not applicable,3,Loan originated,1,Springfield - MA,44140,Massachusetts,MA,25,Hampden County,13,8133.04,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,66,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3900,18,66600,200.5800018,1395,1530,
2017,90290,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,167,Not applicable,3,Loan originated,1,"Worcester - MA, CT",49340,Massachusetts,MA,25,Worcester County,27,7501,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,131,Freddie Mac (FHLMC),3,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6147,12.11999989,84000,94.48999786,1224,1980,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1040,Not applicable,3,Loan originated,1,"Cambridge, Newton, Framingham - MA",15764,Massachusetts,MA,25,Middlesex County,17,3584,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Asian,2,,,,,,,,,Asian,2,,,,,,,,,Male,1,Female,2,331,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5033,26.86000061,104800,162.2400055,1438,1581,
2017,20600,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,100,Not applicable,3,Loan originated,1,Springfield - MA,44140,Massachusetts,MA,25,Hampden County,13,8104.03,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,77,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4152,8.890000343,66600,77.19000244,798,1491,
2017,24543,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,508,Not applicable,3,Loan originated,1,"Cambridge, Newton, Framingham - MA",15764,Massachusetts,MA,25,Middlesex County,17,3211,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,226,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,7107,23.37000084,104800,98.94000244,1713,1990,
2017,75-2921540,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,212,Not applicable,3,Loan originated,1,Boston - MA,14454,Massachusetts,MA,25,Norfolk County,21,4176.01,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Asian,2,,,,,,,,,Asian,2,,,,,,,,,Female,2,Male,1,,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5466,37.84999847,94300,92.26999664,1087,1605,
2017,20-3702275,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,218,Not applicable,3,Loan originated,1,Barnstable Town - MA,12700,Massachusetts,MA,25,Barnstable County,1,153,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,Female,2,Male,1,61,Fannie Mae (FNMA),1,,,,,,,1.68,Not a HOEPA loan,2,Secured by a first lien,1,,,,2861,29.98999977,90200,45.75,279,1148,
2017,22-2894356,Department of Housing and Urban Development,HUD,7,FSA/RHS-guaranteed,4,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,285,Preapproval was not requested,2,Loan originated,1,"Providence, Warwick - RI, MA",39300,Massachusetts,MA,25,Bristol County,5,6141.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,70,"Commercial bank, savings bank or savings association",6,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6683,6.210000038,74500,121.9000015,2010,2411,
2017,7056000000,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,218,Not applicable,3,Loan originated,1,Boston - MA,14454,Massachusetts,MA,25,Norfolk County,21,4431.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,52,Other type of purchaser,9,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,8630,4.949999809,94300,113.6299973,2626,3389,
2017,04-3128200,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,288,Preapproval was not requested,2,Loan originated,1,"Worcester - MA, CT",49340,Massachusetts,MA,25,Worcester County,27,7211.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,69,"Life insurance company, credit union, mortgage bank, or finance company",7,,,,,,,1.5,Not a HOEPA loan,2,Secured by a first lien,1,,,,8316,4.929999828,84000,136.3000031,2485,2984,
2017,7505400005,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,239,Not applicable,3,Loan originated,1,Barnstable Town - MA,12700,Massachusetts,MA,25,Barnstable County,1,125.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,33,Freddie Mac (FHLMC),3,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3135,23.21999931,90200,75.33000183,917,2342,
2017,4114567,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,830,Not applicable,3,Loan originated,1,"Cambridge, Newton, Framingham - MA",15764,Massachusetts,MA,25,Middlesex County,17,3734,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,185,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3548,24.06999969,104800,140.6000061,851,1337,
